"AMOUNT","UCC","NEWID","PUB_FLAG","AMOUNT_"
4,"980010",280531,"1",
50,"980020",280531,"1",
2,"980030",280531,"1",
3,"980040",280531,"1",
100,"980090",280531,"1",
100,"980220",280531,"1",
100,"980230",280531,"1",
100,"980280",280531,"1",
100,"980310",280531,"1",
100,"980330",280531,"1",
4,"980010",280532,"1",
50,"980020",280532,"1",
2,"980030",280532,"1",
3,"980040",280532,"1",
100,"980090",280532,"1",
100,"980220",280532,"1",
100,"980230",280532,"1",
100,"980280",280532,"1",
100,"980310",280532,"1",
100,"980330",280532,"1",
6029,"800940",280541,"1",
90000,"900000",280541,"1",
-8593,"950001",280541,"1","T"
-1200,"950011",280541,"1",
90000,"980000",280541,"1",
1,"980010",280541,"1",
41,"980020",280541,"1",
1,"980030",280541,"1",
1,"980040",280541,"1",
98200,"980070",280541,"1",
100,"980090",280541,"1",
100,"980210",280541,"1",
100,"980230",280541,"1",
100,"980280",280541,"1",
100,"980310",280541,"1",
100,"980330",280541,"1",
6029,"800940",280542,"1",
90000,"900000",280542,"1",
-8593,"950001",280542,"1","T"
-1200,"950011",280542,"1",
90000,"980000",280542,"1",
1,"980010",280542,"1",
41,"980020",280542,"1",
1,"980030",280542,"1",
1,"980040",280542,"1",
98200,"980070",280542,"1",
100,"980090",280542,"1",
100,"980210",280542,"1",
100,"980230",280542,"1",
100,"980280",280542,"1",
100,"980310",280542,"1",
100,"980330",280542,"1",
4,"980010",280551,"1",
36,"980020",280551,"1",
1,"980030",280551,"1",
1,"980040",280551,"1",
2,"980050",280551,"1",
100,"980090",280551,"1",
100,"980210",280551,"1",
100,"980230",280551,"1",
100,"980280",280551,"1",
100,"980310",280551,"1",
100,"980330",280551,"1",
4,"980010",280552,"1",
36,"980020",280552,"1",
1,"980030",280552,"1",
1,"980040",280552,"1",
2,"980050",280552,"1",
100,"980090",280552,"1",
100,"980210",280552,"1",
100,"980230",280552,"1",
100,"980280",280552,"1",
100,"980310",280552,"1",
100,"980330",280552,"1",
11322,"900030",280561,"1",
4200,"900040",280561,"1",
-500,"950001",280561,"1",
15522,"980000",280561,"1",
1,"980010",280561,"1",
77,"980020",280561,"1",
1,"980040",280561,"1",
1,"980060",280561,"1",
16022,"980070",280561,"1",
100,"980090",280561,"1",
100,"980220",280561,"1",
100,"980240",280561,"1",
100,"980280",280561,"1",
100,"980300",280561,"1",
100,"980330",280561,"1",
11322,"900030",280562,"1",
4200,"900040",280562,"1",
-500,"950001",280562,"1",
15522,"980000",280562,"1",
1,"980010",280562,"1",
77,"980020",280562,"1",
