"HH_CU_Q","hhid","hhid_","newid"
1,.,"A",360401
1,.,"A",360402
1,.,"A",360411
1,.,"A",360412
1,.,"A",360421
1,.,"A",360422
1,.,"A",360431
1,.,"A",360432
1,.,"A",360441
1,.,"A",360442
1,.,"A",360451
1,.,"A",360452
1,.,"A",360461
1,.,"A",360462
1,.,"A",360471
1,.,"A",360472
1,.,"A",360481
1,.,"A",360482
1,.,"A",360491
1,.,"A",360492
1,.,"A",360501
1,.,"A",360502
1,.,"A",360511
1,.,"A",360512
1,.,"A",360521
1,.,"A",360522
1,.,"A",360531
1,.,"A",360532
1,.,"A",360541
1,.,"A",360542
1,.,"A",360551
1,.,"A",360552
3,5,"D",360561
3,35,"D",360562
1,.,"A",360571
1,.,"A",360572
1,.,"A",360581
1,.,"A",360582
1,.,"A",360591
1,.,"A",360592
1,.,"A",360601
1,.,"A",360602
1,.,"A",360611
1,.,"A",360612
1,.,"A",360621
1,.,"A",360622
1,.,"A",360631
1,.,"A",360632
1,.,"A",360641
1,.,"A",360642
1,.,"A",360651
1,.,"A",360652
1,.,"A",360661
1,.,"A",360662
1,.,"A",360671
1,.,"A",360672
1,.,"A",360681
1,.,"A",360682
2,6,"D",360691
2,36,"D",360692
1,.,"A",360701
1,.,"A",360702
1,.,"A",360711
1,.,"A",360712
1,.,"A",360721
1,.,"A",360722
1,.,"A",360731
1,.,"A",360732
1,.,"A",360741
1,.,"A",360751
1,.,"A",360752
1,.,"A",360761
1,.,"A",360771
1,.,"A",360772
2,23,"D",360781
2,53,"D",360782
3,9,"D",360791
3,39,"D",360792
1,.,"A",360801
1,.,"A",360802
1,.,"A",360811
1,.,"A",360812
1,.,"A",360821
1,.,"A",360822
1,.,"A",360831
1,.,"A",360832
1,.,"A",360841
1,.,"A",360842
1,.,"A",360851
1,.,"A",360852
1,.,"A",360861
1,.,"A",360862
1,.,"A",360871
1,.,"A",360872
1,.,"A",360881
1,.,"A",360882
1,.,"A",360892
1,.,"A",360901
1,.,"A",360902
1,.,"A",360911
1,.,"A",360912
1,.,"A",360921
1,.,"A",360922
1,.,"A",360931
1,.,"A",360932
1,.,"A",360941
1,.,"A",360942
1,.,"A",360951
1,.,"A",360952
1,.,"A",360961
1,.,"A",360962
1,.,"A",360971
1,.,"A",360972
1,.,"A",360981
1,.,"A",360982
1,.,"A",360991
1,.,"A",360992
1,.,"A",361001
1,.,"A",361002
1,.,"A",361011
1,.,"A",361012
1,.,"A",361021
1,.,"A",361022
1,.,"A",361031
1,.,"A",361032
1,.,"A",361041
1,.,"A",361042
1,.,"A",361051
1,.,"A",361052
1,.,"A",361061
1,.,"A",361062
1,.,"A",361071
1,.,"A",361072
1,.,"A",361081
1,.,"A",361082
1,.,"A",361091
1,.,"A",361092
1,.,"A",361101
1,.,"A",361102
1,.,"A",361111
1,.,"A",361121
1,.,"A",361122
1,.,"A",361131
1,.,"A",361132
1,.,"A",361141
1,.,"A",361142
1,.,"A",361151
1,.,"A",361152
1,.,"A",361161
1,.,"A",361162
1,.,"A",361171
1,.,"A",361172
1,.,"A",361181
1,.,"A",361182
1,.,"A",361191
1,.,"A",361192
1,.,"A",361201
1,.,"A",361202
1,.,"A",361211
1,.,"A",361212
1,.,"A",361221
1,.,"A",361222
1,.,"A",361231
1,.,"A",361232
1,.,"A",361241
1,.,"A",361242
1,.,"A",361251
1,.,"A",361252
1,.,"A",361261
1,.,"A",361262
1,.,"A",361271
1,.,"A",361272
1,.,"A",361281
1,.,"A",361282
1,.,"A",361291
1,.,"A",361292
1,.,"A",361301
1,.,"A",361302
1,.,"A",361311
1,.,"A",361312
1,.,"A",361321
1,.,"A",361322
1,.,"A",361331
1,.,"A",361332
1,.,"A",361341
1,.,"A",361342
1,.,"A",361351
1,.,"A",361352
3,27,"D",361361
3,57,"D",361362
1,.,"A",361371
1,.,"A",361372
1,.,"A",361381
1,.,"A",361382
1,.,"A",361391
1,.,"A",361392
1,.,"A",361401
1,.,"A",361402
1,.,"A",361411
1,.,"A",361412
1,.,"A",361421
1,.,"A",361422
1,.,"A",361431
1,.,"A",361432
1,.,"A",361441
1,.,"A",361442
1,.,"A",361451
1,.,"A",361452
1,.,"A",361461
1,.,"A",361462
1,.,"A",361471
1,.,"A",361481
1,.,"A",361482
1,.,"A",361491
1,.,"A",361492
1,.,"A",361501
1,.,"A",361502
1,.,"A",361511
1,.,"A",361512
1,.,"A",361521
1,.,"A",361522
1,.,"A",361531
1,.,"A",361532
1,.,"A",361541
1,.,"A",361542
1,.,"A",361551
1,.,"A",361552
1,.,"A",361561
1,.,"A",361562
1,.,"A",361571
1,.,"A",361572
1,.,"A",361581
1,.,"A",361582
