"UCC","AMOUNT","NEWID","PUB_FLAG","AMOUNT_"
"900030",9000,400441,"1",
"900040",300,400441,"1",
"980000",9300,400441,"1",
"980010",1,400441,"1",
"980020",72,400441,"1",
"980040",1,400441,"1",
"980060",1,400441,"1",
"980070",9300,400441,"1",
"980090",100,400441,"1",
"980220",100,400441,"1",
"980240",100,400441,"1",
"980280",100,400441,"1",
"980300",100,400441,"1",
"980330",100,400441,"1",
"900030",9000,400442,"1",
"900040",300,400442,"1",
"980000",9300,400442,"1",
"980010",1,400442,"1",
"980020",72,400442,"1",
"980040",1,400442,"1",
"980060",1,400442,"1",
"980070",9300,400442,"1",
"980090",100,400442,"1",
"980220",100,400442,"1",
"980240",100,400442,"1",
"980280",100,400442,"1",
"980300",100,400442,"1",
"980330",100,400442,"1",
"800940",230,400452,"1",
"900000",3000,400452,"1",
"950001",-100,400452,"1",
"980000",3000,400452,"1",
"980010",1,400452,"1",
"980020",19,400452,"1",
"980030",1,400452,"1",
"980040",1,400452,"1",
"980070",3100,400452,"1",
"980220",100,400452,"1",
"980260",100,400452,"1",
"980280",100,400452,"1",
"980310",100,400452,"1",
"980330",100,400452,"1",
"800940",2066,400461,"1",
"900000",27000,400461,"1",
"900120",4800,400461,"1",
"950001",-200,400461,"1",
"980000",31800,400461,"1",
"980010",3,400461,"1",
"980020",30,400461,"1",
"980030",2,400461,"1",
"980040",3,400461,"1",
"980050",1,400461,"1",
"980070",32000,400461,"1",
"980090",100,400461,"1",
"980220",100,400461,"1",
"980230",100,400461,"1",
"980280",100,400461,"1",
"980310",100,400461,"1",
"980330",100,400461,"1",
"800940",2066,400462,"1",
"900000",27000,400462,"1",
"900120",4800,400462,"1",
"950001",-200,400462,"1",
"980000",31800,400462,"1",
"980010",3,400462,"1",
"980020",30,400462,"1",
"980030",2,400462,"1",
"980040",3,400462,"1",
"980050",1,400462,"1",
"980070",32000,400462,"1",
"980090",100,400462,"1",
"980220",100,400462,"1",
"980230",100,400462,"1",
"980280",100,400462,"1",
"980310",100,400462,"1",
"980330",100,400462,"1",
"800940",7650,400471,"1",
"900000",100000,400471,"1",
"950001",-600,400471,"1",
"980000",100000,400471,"1",
"980010",7,400471,"1",
"980020",32,400471,"1",
"980030",2,400471,"1",
"980040",1,400471,"1",
"980050",5,400471,"1",
"980070",100600,400471,"1",
"980210",100,400471,"1",
"980260",100,400471,"1",
"980280",100,400471,"1",
"980310",100,400471,"1",
"980330",100,400471,"1",
"800940",7650,400472,"1",
"900000",100000,400472,"1",
"950001",-600,400472,"1",
"980000",100000,400472,"1",
"980010",7,400472,"1",
"980020",32,400472,"1",
"980030",2,400472,"1",
"980040",1,400472,"1",
"980050",5,400472,"1",
"980070",100600,400472,"1",
"980210",100,400472,"1",
"980260",100,400472,"1",
"980280",100,400472,"1",
"980310",100,400472,"1",
"980330",100,400472,"1",
"800940",1301,400481,"1",
"900000",17000,400481,"1",
"980000",17000,400481,"1",
"980010",4,400481,"1",
"980020",44,400481,"1",
"980030",2,400481,"1",
"980040",3,400481,"1",
"980050",1,400481,"1",
"980070",17000,400481,"1",
"980090",100,400481,"1",
"980220",100,400481,"1",
"980230",100,400481,"1",
"980280",100,400481,"1",
"980300",100,400481,"1",
"980330",100,400481,"1",
"800940",1301,400482,"1",
"900000",17000,400482,"1",
"980000",17000,400482,"1",
"980010",4,400482,"1",
"980020",44,400482,"1",
"980030",2,400482,"1",
"980040",3,400482,"1",
"980050",1,400482,"1",
"980070",17000,400482,"1",
"980090",100,400482,"1",
"980220",100,400482,"1",
"980230",100,400482,"1",
"980280",100,400482,"1",
"980300",100,400482,"1",
"980330",100,400482,"1",
"980010",4,400491,"1",
"980020",23,400491,"1",
"980030",1,400491,"1",
"980040",1,400491,"1",
"980050",2,400491,"1",
"980210",100,400491,"1",
"980260",100,400491,"1",
"980280",100,400491,"1",
"980300",100,400491,"1",
"980330",100,400491,"1",
"980010",4,400492,"1",
"980020",23,400492,"1",
"980030",1,400492,"1",
"980040",1,400492,"1",
"980050",2,400492,"1",
"980210",100,400492,"1",
"980260",100,400492,"1",
"980280",100,400492,"1",
"980300",100,400492,"1",
"980330",100,400492,"1",
"800940",574,400501,"1",
"900000",7500,400501,"1",
"900050",450,400501,"1",
"900100",2500,400501,"1",
"950000",966,400501,"1",
"950001",-1300,400501,"1",
"950010",331,400501,"1",
"950011",-400,400501,"1",
"950022",170,400501,"1",
"980000",10450,400501,"1",
"980010",1,400501,"1",
"980020",55,400501,"1",
"980030",1,400501,"1",
"980040",1,400501,"1",
"980070",10683,400501,"1",
"980090",100,400501,"1",
"980210",100,400501,"1",
"980230",100,400501,"1",
"980280",100,400501,"1",
"980310",100,400501,"1",
"980330",100,400501,"1",
"800940",574,400502,"1",
"900000",7500,400502,"1",
"900050",450,400502,"1",
"900100",2500,400502,"1",
"950000",966,400502,"1",
"950001",-1300,400502,"1",
"950010",331,400502,"1",
"950011",-400,400502,"1",
"950022",170,400502,"1",
"980000",10450,400502,"1",
"980010",1,400502,"1",
"980020",55,400502,"1",
"980030",1,400502,"1",
"980040",1,400502,"1",
"980070",10683,400502,"1",
"980090",100,400502,"1",
"980210",100,400502,"1",
"980230",100,400502,"1",
"980280",100,400502,"1",
"980310",100,400502,"1",
"980330",100,400502,"1",
"800940",612,400511,"1",
"900010",4000,400511,"1",
"900030",9600,400511,"1",
"900040",10000,400511,"1",
"900080",1000,400511,"1",
"950000",1100,400511,"1",
"950023",-300,400511,"1",
"980000",24600,400511,"1",
"980010",1,400511,"1",
"980020",72,400511,"1",
"980030",1,400511,"1",
"980040",1,400511,"1",
"980060",1,400511,"1",
"980070",23800,400511,"1",
"980090",100,400511,"1",
"980220",100,400511,"1",
"980230",100,400511,"1",
"980280",100,400511,"1",
"980300",100,400511,"1",
"980330",100,400511,"1",
"800940",612,400512,"1",
"900010",4000,400512,"1",
"900030",9600,400512,"1",
"900040",10000,400512,"1",
"900080",1000,400512,"1",
"950000",1100,400512,"1",
"950023",-300,400512,"1",
"980000",24600,400512,"1",
"980010",1,400512,"1",
"980020",72,400512,"1",
"980030",1,400512,"1",
"980040",1,400512,"1",
"980060",1,400512,"1",
"980070",23800,400512,"1",
"980090",100,400512,"1",
"980220",100,400512,"1",
"980230",100,400512,"1",
"980280",100,400512,"1",
"980300",100,400512,"1",
"980330",100,400512,"1",
"800940",2908,400521,"1",
"900000",38000,400521,"1",
"950001",-1500,400521,"1",
"950011",-80,400521,"1",
"950022",396,400521,"1",
"980000",38000,400521,"1",
"980010",2,400521,"1",
"980020",41,400521,"1",
"980030",2,400521,"1",
"980040",3,400521,"1",
"980070",39184,400521,"1",
"980090",100,400521,"1",
"980210",100,400521,"1",
"980240",100,400521,"1",
"980280",100,400521,"1",
"980300",100,400521,"1",
"980330",100,400521,"1",
"800940",2908,400522,"1",
"900000",38000,400522,"1",
"950001",-1500,400522,"1",
"950011",-80,400522,"1",
"950022",396,400522,"1",
"980000",38000,400522,"1",
"980010",2,400522,"1",
"980020",41,400522,"1",
"980030",2,400522,"1",
"980040",3,400522,"1",
"980070",39184,400522,"1",
"980090",100,400522,"1",
"980210",100,400522,"1",
"980240",100,400522,"1",
"980280",100,400522,"1",
"980300",100,400522,"1",
"980330",100,400522,"1",
"800932",600,400531,"1",
"800940",3366,400531,"1",
"900010",22000,400531,"1",
"910040",400,400531,"1",
"950000",2300,400531,"1",
"950011",-100,400531,"1",
"950023",-180,400531,"1",
"980000",22000,400531,"1",
"980010",1,400531,"1",
"980020",43,400531,"1",
"980030",1,400531,"1",
"980040",1,400531,"1",
"980070",19980,400531,"1",
"980090",100,400531,"1",
"980220",100,400531,"1",
"980230",100,400531,"1",
"980280",100,400531,"1",
"980310",100,400531,"1",
"980330",100,400531,"1",
"800932",600,400532,"1",
"800940",3366,400532,"1",
"900010",22000,400532,"1",
"910040",400,400532,"1",
"950000",2300,400532,"1",
"950011",-100,400532,"1",
"950023",-180,400532,"1",
"980000",22000,400532,"1",
"980010",1,400532,"1",
"980020",43,400532,"1",
"980030",1,400532,"1",
"980040",1,400532,"1",
"980070",19980,400532,"1",
"980090",100,400532,"1",
"980220",100,400532,"1",
"980230",100,400532,"1",
"980280",100,400532,"1",
"980310",100,400532,"1",
"980330",100,400532,"1",
"800940",1224,400541,"1",
"900000",16000,400541,"1",
"980000",16000,400541,"1",
"980010",3,400541,"1",
"980020",24,400541,"1",
"980030",2,400541,"1",
"980040",1,400541,"1",
"980050",1,400541,"1",
"980070",16000,400541,"1",
"980210",100,400541,"1",
"980260",100,400541,"1",
"980270",100,400541,"1",
"980300",100,400541,"1",
"980330",100,400541,"1",
"800940",1224,400542,"1",
"900000",16000,400542,"1",
"980000",16000,400542,"1",
"980010",3,400542,"1",
"980020",24,400542,"1",
"980030",2,400542,"1",
"980040",1,400542,"1",
"980050",1,400542,"1",
"980070",16000,400542,"1",
"980210",100,400542,"1",
"980260",100,400542,"1",
"980270",100,400542,"1",
"980300",100,400542,"1",
"980330",100,400542,"1",
"800940",555,400551,"1",
"900000",7250,400551,"1",
"900030",600,400551,"1",
"950000",1071,400551,"1",
"950010",288,400551,"1",
"980000",7850,400551,"1",
"980010",3,400551,"1",
"980020",23,400551,"1",
"980030",2,400551,"1",
"980040",1,400551,"1",
"980050",1,400551,"1",
"980070",6491,400551,"1",
"980220",100,400551,"1",
"980260",100,400551,"1",
"980280",100,400551,"1",
"980300",100,400551,"1",
"980330",100,400551,"1",
"800940",555,400552,"1",
"900000",7250,400552,"1",
"900030",600,400552,"1",
"950000",1071,400552,"1",
"950010",288,400552,"1",
"980000",7850,400552,"1",
"980010",3,400552,"1",
"980020",23,400552,"1",
"980030",2,400552,"1",
"980040",1,400552,"1",
"980050",1,400552,"1",
"980070",6491,400552,"1",
"980220",100,400552,"1",
"980260",100,400552,"1",
"980280",100,400552,"1",
"980300",100,400552,"1",
"980330",100,400552,"1",
"900140",11000,400561,"1",
"980000",11000,400561,"1",
"980010",1,400561,"1",
"980020",21,400561,"1",
"980040",1,400561,"1",
"980070",11000,400561,"1",
"980220",100,400561,"1",
"980260",100,400561,"1",
"980280",100,400561,"1",
"980310",100,400561,"1",
"980330",100,400561,"1",
"900140",11000,400562,"1",
"980000",11000,400562,"1",
"980010",1,400562,"1",
"980020",21,400562,"1",
"980040",1,400562,"1",
"980070",11000,400562,"1",
"980220",100,400562,"1",
"980260",100,400562,"1",
"980280",100,400562,"1",
"980310",100,400562,"1",
"980330",100,400562,"1",
"980010",6,400571,"1",
"980020",38,400571,"1",
"980030",1,400571,"1",
"980040",2,400571,"1",
"980050",4,400571,"1",
"980090",100,400571,"1",
"980220",100,400571,"1",
"980240",100,400571,"1",
"980280",100,400571,"1",
"980300",100,400571,"1",
"980330",100,400571,"1",
"980010",6,400572,"1",
"980020",38,400572,"1",
"980030",1,400572,"1",
"980040",2,400572,"1",
"980050",4,400572,"1",
"980090",100,400572,"1",
"980220",100,400572,"1",
"980240",100,400572,"1",
"980280",100,400572,"1",
"980300",100,400572,"1",
"980330",100,400572,"1",
"800940",6579,400581,"1",
"900000",86000,400581,"1",
"980000",86000,400581,"1",
"980010",5,400581,"1",
"980020",44,400581,"1",
"980030",3,400581,"1",
"980040",2,400581,"1",
"980050",2,400581,"1",
"980070",86000,400581,"1",
"980090",100,400581,"1",
"980220",100,400581,"1",
"980240",100,400581,"1",
"980280",100,400581,"1",
"980300",100,400581,"1",
"980330",100,400581,"1",
"800940",6579,400582,"1",
"900000",86000,400582,"1",
"980000",86000,400582,"1",
"980010",5,400582,"1",
"980020",44,400582,"1",
"980030",3,400582,"1",
"980040",2,400582,"1",
"980050",2,400582,"1",
"980070",86000,400582,"1",
"980090",100,400582,"1",
"980220",100,400582,"1",
"980240",100,400582,"1",
"980280",100,400582,"1",
"980300",100,400582,"1",
"980330",100,400582,"1",
"800940",2295,400591,"1",
"900000",30000,400591,"1",
"980000",30000,400591,"1",
"980010",4,400591,"1",
"980020",46,400591,"1",
"980030",2,400591,"1",
"980040",1,400591,"1",
"980050",2,400591,"1",
"980070",30000,400591,"1",
"980090",100,400591,"1",
"980220",100,400591,"1",
"980240",100,400591,"1",
"980280",100,400591,"1",
"980310",100,400591,"1",
"980330",100,400591,"1",
"800940",2295,400592,"1",
"900000",30000,400592,"1",
"980000",30000,400592,"1",
"980010",4,400592,"1",
"980020",46,400592,"1",
"980030",2,400592,"1",
"980040",1,400592,"1",
"980050",2,400592,"1",
"980070",30000,400592,"1",
"980090",100,400592,"1",
"980220",100,400592,"1",
"980240",100,400592,"1",
"980280",100,400592,"1",
"980310",100,400592,"1",
"980330",100,400592,"1",
"980010",3,400601,"1",
"980020",25,400601,"1",
"980030",1,400601,"1",
"980040",2,400601,"1",
"980050",1,400601,"1",
"980090",100,400601,"1",
"980210",100,400601,"1",
"980230",100,400601,"1",
"980280",100,400601,"1",
"980310",100,400601,"1",
"980330",100,400601,"1",
"980010",3,400602,"1",
"980020",25,400602,"1",
"980030",1,400602,"1",
"980040",2,400602,"1",
"980050",1,400602,"1",
"980090",100,400602,"1",
"980210",100,400602,"1",
"980230",100,400602,"1",
"980280",100,400602,"1",
"980310",100,400602,"1",
"980330",100,400602,"1",
"800940",268,400611,"1",
"900000",3500,400611,"1",
"950001",-500,400611,"1",
"950011",-230,400611,"1",
"980000",3500,400611,"1",
"980010",3,400611,"1",
"980020",20,400611,"1",
"980030",2,400611,"1",
"980040",3,400611,"1",
"980050",1,400611,"1",
"980070",4230,400611,"1",
"980090",100,400611,"1",
"980220",100,400611,"1",
"980230",100,400611,"1",
"980280",100,400611,"1",
"980310",100,400611,"1",
"980330",100,400611,"1",
"800940",268,400612,"1",
"900000",3500,400612,"1",
"950001",-500,400612,"1",
"950011",-230,400612,"1",
"980000",3500,400612,"1",
"980010",3,400612,"1",
"980020",20,400612,"1",
"980030",2,400612,"1",
"980040",3,400612,"1",
"980050",1,400612,"1",
"980070",4230,400612,"1",
"980090",100,400612,"1",
"980220",100,400612,"1",
"980230",100,400612,"1",
"980280",100,400612,"1",
"980310",100,400612,"1",
"980330",100,400612,"1",
"800940",1377,400621,"1",
"900000",18000,400621,"1",
"950001",-500,400621,"1",
"950011",-60,400621,"1",
"980000",18000,400621,"1",
"980010",1,400621,"1",
"980020",23,400621,"1",
"980030",1,400621,"1",
"980040",1,400621,"1",
"980070",18560,400621,"1",
"980210",100,400621,"1",
"980260",100,400621,"1",
"980280",100,400621,"1",
"980300",100,400621,"1",
"980330",100,400621,"1",
"800940",1377,400622,"1",
"900000",18000,400622,"1",
"950001",-500,400622,"1",
"950011",-60,400622,"1",
"980000",18000,400622,"1",
"980010",1,400622,"1",
"980020",23,400622,"1",
"980030",1,400622,"1",
"980040",1,400622,"1",
"980070",18560,400622,"1",
"980210",100,400622,"1",
"980260",100,400622,"1",
"980280",100,400622,"1",
"980300",100,400622,"1",
"980330",100,400622,"1",
"800940",1607,400631,"1",
"900000",21000,400631,"1",
"900090",225,400631,"1",
"900120",500,400631,"1",
"980000",21725,400631,"1",
"980010",5,400631,"1",
"980020",41,400631,"1",
"980030",2,400631,"1",
"980050",2,400631,"1",
"980060",1,400631,"1",
"980070",21725,400631,"1",
"980220",100,400631,"1",
"980260",100,400631,"1",
"980280",100,400631,"1",
"980300",100,400631,"1",
"800940",1607,400632,"1",
"900000",21000,400632,"1",
"900090",225,400632,"1",
"900120",500,400632,"1",
"980000",21725,400632,"1",
"980010",5,400632,"1",
"980020",41,400632,"1",
"980030",2,400632,"1",
"980050",2,400632,"1",
"980060",1,400632,"1",
"980070",21725,400632,"1",
"980220",100,400632,"1",
"980260",100,400632,"1",
"980280",100,400632,"1",
"980300",100,400632,"1",
"950001",-3000,400641,"1",
"950011",-200,400641,"1",
"980010",4,400641,"1",
"980020",26,400641,"1",
"980030",2,400641,"1",
"980040",2,400641,"1",
"980050",2,400641,"1",
"980070",3200,400641,"1",
"980090",100,400641,"1",
"980210",100,400641,"1",
"980230",100,400641,"1",
"980280",100,400641,"1",
"980300",100,400641,"1",
"980330",100,400641,"1",
"950001",-3000,400642,"1",
"950011",-200,400642,"1",
"980010",4,400642,"1",
"980020",26,400642,"1",
"980030",2,400642,"1",
"980040",2,400642,"1",
"980050",2,400642,"1",
"980070",3200,400642,"1",
"980090",100,400642,"1",
"980210",100,400642,"1",
"980230",100,400642,"1",
"980280",100,400642,"1",
"980300",100,400642,"1",
"980330",100,400642,"1",
"980010",4,400651,"1",
"980020",42,400651,"1",
"980030",3,400651,"1",
"980040",3,400651,"1",
"980050",1,400651,"1",
"980090",100,400651,"1",
"980220",100,400651,"1",
"980230",100,400651,"1",
"980280",100,400651,"1",
"980300",100,400651,"1",
"980330",100,400651,"1",
"980010",4,400652,"1",
"980020",42,400652,"1",
