"BSNSX","FARMX","IRAX","JSSDEDX","WAGEX","ANFEDTXX","ANGVX","ANPVTX","ANRRX","ANSTATXX","BSNSX_","FARMX_","IRAX_","JSSDEDX_","WAGEX_","ANFE_TXX","ANGVX_","ANPVTX_","ANRRX_","ANST_TXX","FEDTXX","GVX","PVTX","RRX","STATXX","FEDTXX_","GVX_","PVTX_","RRX_","STATXX_","HRSPERWK","WKS_WRKD","HRSP_RWK","WKS__RKD","EMPLTYPE","MARITAL","ORIGIN","WHYNOWRK","OCCULIST","EMPL_YPE","MARITAL_","ORIGIN_","WHYN_WRK","OCCU_IST","RACE","SEX","RACE_","SEX_","AGE","MEDICARE","PAYPERD","ANYRAIL","ANYSSINC","STA_SUPP","US_SUPP","SS_RRQ","SLFEMPSS","SS_RRX","SUPPX","GROSPAYX","SOCRRX","MEMBNO","CU_CODE1","EDUCA","IN_COLL","ARM_FORC","SCHLNCHX","SCHLNCHQ","AGE_","MEDI_ARE","PAYPERD_","ANYRAIL_","ANYS_INC","STA__UPP","US_SUPP_","CU_C_DE1","EDUCA_","IN_COLL_","ARM__ORC","SS_RRQ_","SLFE_PSS","SS_RRX_","SUPPX_","GROS_AYX","SOCRRX_","SCHL_CHX","SCHL_CHQ","NEWID"
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"2","4","1",,"A","D","D","D","A","1","2","D","D",72,"1",,"2","1","2","2",12,.,700,.,.,9000,1,"1","39","3",,.,.,"D","D","A","D","D","D","D","D","D","D","A","D","A","D","A","A","D","A","A",400441
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"2","4","1",,"A","D","D","D","A","1","2","D","D",72,"1",,"2","1","2","2",12,.,700,.,.,9000,1,"1","39","3",,.,.,"D","D","A","D","D","D","D","D","D","D","A","D","A","D","A","A","D","A","A",400442
.,.,.,230,3000,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",60,7,"D","D","1","5","4",,"13","D","D","D","A","D","1","2","D","D",19,,"1","2","2","2","2",.,0,.,.,800,0,1,"1","40","1","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","D","D","A","A",400452
.,.,.,2066,27000,.,.,.,.,.,"A","A","A","D","D","B","A","B","A","B",123,.,50,.,29,"D","A","D","A","D",40,48,"D","D","1","5","1",,"03","D","D","D","A","D","1","2","D","D",30,,"2","2","2","2","2",.,0,.,.,.,0,1,"1","43","3","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","A","D","A","A",400461
.,.,.,0,.,.,.,.,.,.,"A","A","A","D","C","B","A","A","A","B",.,.,.,.,.,"B","A","A","A","B",50,48,"D","D","1","5","1",,"03","D","D","D","A","D","1","1","D","D",31,,"7","2","2","2","2",.,0,.,.,.,0,2,"9","43","1","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","C","D","A","A",400461
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","1",,,"A","D","D","A","A","1","1","D","D",10,,,,,,,.,.,.,.,.,.,3,"9",,,,.,.,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","A","A",400461
.,.,.,2066,27000,.,.,.,.,.,"A","A","A","D","D","B","A","B","A","B",123,.,50,.,29,"D","A","D","A","D",40,48,"D","D","1","5","1",,"03","D","D","D","A","D","1","2","D","D",30,,"2","2","2","2","2",.,0,.,.,.,0,1,"1","43","3","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","A","D","A","A",400462
.,.,.,0,.,.,.,.,.,.,"A","A","A","D","C","B","A","A","A","B",.,.,.,.,.,"B","A","A","A","B",50,48,"D","D","1","5","1",,"03","D","D","D","A","D","1","1","D","D",31,,"7","2","2","2","2",.,0,.,.,.,0,2,"9","43","1","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","C","D","A","A",400462
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","1",,,"A","D","D","A","A","1","1","D","D",10,,,,,,,.,.,.,.,.,.,3,"9",,,,.,.,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","A","A",400462
.,.,.,4590,60000,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",40,52,"D","D","5","1","4",,"14","D","D","D","A","D","1","1","D","D",32,,,"2","2","2","2",.,0,.,.,20734,0,1,"1","40","3","2",.,.,"D","A","A","D","D","D","D","D","D","D","D","A","D","A","A","T","D","A","A",400471
.,.,.,3060,40000,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",40,52,"D","D","1","1","4",,"03","D","D","D","A","D","1","2","D","D",37,,,"2","2","2","2",.,0,.,.,20734,0,2,"2","40","3","2",.,.,"D","A","A","D","D","D","D","D","D","D","D","A","D","A","A","T","D","A","A",400471
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","4",,,"A","D","D","A","A","1","2","D","D",9,,,,,,,.,.,.,.,.,.,3,"3",,,,2,2,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","D","D",400471
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","4",,,"A","D","D","A","A","1","2","D","D",8,,,,,,,.,.,.,.,.,.,4,"3",,,,2,2,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","D","D",400471
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","4",,,"A","D","D","A","A","1","2","D","D",6,,,,,,,.,.,.,.,.,.,5,"3",,,,2,2,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","D","D",400471
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","4",,,"A","D","D","A","A","1","1","D","D",4,,,,,,,.,.,.,.,.,.,6,"3",,,,.,.,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","A","A",400471
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","4",,,"A","D","D","A","A","1","1","D","D",0,,,,,,,.,.,.,.,.,.,7,"3",,,,.,.,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","A","A",400471
.,.,.,4590,60000,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",40,52,"D","D","5","1","4",,"14","D","D","D","A","D","1","1","D","D",32,,,"2","2","2","2",.,0,.,.,20734,0,1,"1","40","3","2",.,.,"D","A","A","D","D","D","D","D","D","D","D","A","D","A","A","T","D","A","A",400472
.,.,.,3060,40000,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",40,52,"D","D","1","1","4",,"03","D","D","D","A","D","1","2","D","D",37,,,"2","2","2","2",.,0,.,.,20734,0,2,"2","40","3","2",.,.,"D","A","A","D","D","D","D","D","D","D","D","A","D","A","A","T","D","A","A",400472
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","4",,,"A","D","D","A","A","1","2","D","D",9,,,,,,,.,.,.,.,.,.,3,"3",,,,2,2,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","D","D",400472
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","4",,,"A","D","D","A","A","1","2","D","D",8,,,,,,,.,.,.,.,.,.,4,"3",,,,2,2,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","D","D",400472
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","4",,,"A","D","D","A","A","1","2","D","D",6,,,,,,,.,.,.,.,.,.,5,"3",,,,2,2,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","D","D",400472
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","4",,,"A","D","D","A","A","1","1","D","D",4,,,,,,,.,.,.,.,.,.,6,"3",,,,.,.,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","A","A",400472
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","4",,,"A","D","D","A","A","1","1","D","D",0,,,,,,,.,.,.,.,.,.,7,"3",,,,.,.,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","A","A",400472
.,.,.,1301,17000,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",40,52,"D","D","3","1","4",,"03","D","D","D","A","D","1","2","D","D",44,,"2","2","2","2","2",.,0,.,.,650,0,1,"1","39","3","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","D","D","A","A",400481
.,.,.,0,.,.,.,.,.,.,"A","A","A","D","B","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",40,52,"D","D","1","1","4",,"11","D","D","D","A","D","1","1","D","D",49,,"2","2","2","2","2",.,0,.,.,1100,0,2,"2","39","3","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","D","D","A","A",400481
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"5","4","3",,"A","D","D","D","A","1","2","D","D",17,,,"2","2","2","2",.,.,.,.,.,0,3,"3","10",,"2",.,.,"D","A","A","D","D","D","D","D","D","A","D","A","A","A","A","A","D","A","A",400481
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"5","4","3",,"A","D","D","D","A","1","2","D","D",19,,,"2","2","2","2",.,.,.,.,.,0,4,"3","39","1","2",20,4,"D","A","A","D","D","D","D","D","D","D","D","A","A","A","A","A","D","D","D",400481
.,.,.,1301,17000,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",40,52,"D","D","3","1","4",,"03","D","D","D","A","D","1","2","D","D",44,,"2","2","2","2","2",.,0,.,.,650,0,1,"1","39","3","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","D","D","A","A",400482
.,.,.,0,.,.,.,.,.,.,"A","A","A","D","B","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",40,52,"D","D","1","1","4",,"11","D","D","D","A","D","1","1","D","D",49,,"2","2","2","2","2",.,0,.,.,1100,0,2,"2","39","3","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","D","D","A","A",400482
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"5","4","3",,"A","D","D","D","A","1","2","D","D",17,,,"2","2","2","2",.,.,.,.,.,0,3,"3","10",,"2",.,.,"D","A","A","D","D","D","D","D","D","A","D","A","A","A","A","A","D","A","A",400482
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"5","4","3",,"A","D","D","D","A","1","2","D","D",19,,,"2","2","2","2",.,.,.,.,.,0,4,"3","39","1","2",20,4,"D","A","A","D","D","D","D","D","D","D","D","A","A","A","A","A","D","D","D",400482
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"1","1","2",,"A","D","D","D","A","1","1","D","D",23,,,"2","2","2","2",.,.,.,.,.,0,1,"1","39","3","2",.,.,"D","A","A","D","D","D","D","D","D","D","D","A","A","A","A","A","D","A","A",400491
.,.,.,0,.,.,.,.,.,.,"A","A","A","D","C","B","A","B","A","A",.,.,.,.,.,"C","A","C","A","A",40,52,"D","D","1","1","1",,"15","D","D","D","A","D","1","2","D","D",22,,"1","2","2","2","2",.,0,.,.,450,0,2,"2","39","3","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","D","D","A","A",400491
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","1",,,"A","D","D","A","A","1","2","D","D",2,,,,,,,.,.,.,.,.,.,3,"3",,,,.,.,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","A","A",400491
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","1",,,"A","D","D","A","A","1","1","D","D",0,,,,,,,.,.,.,.,.,.,4,"3",,,,.,.,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","A","A",400491
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"1","1","2",,"A","D","D","D","A","1","1","D","D",23,,,"2","2","2","2",.,.,.,.,.,0,1,"1","39","3","2",.,.,"D","A","A","D","D","D","D","D","D","D","D","A","A","A","A","A","D","A","A",400492
.,.,.,0,.,.,.,.,.,.,"A","A","A","D","C","B","A","B","A","A",.,.,.,.,.,"C","A","C","A","A",40,52,"D","D","1","1","1",,"15","D","D","D","A","D","1","2","D","D",22,,"1","2","2","2","2",.,0,.,.,450,0,2,"2","39","3","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","D","D","A","A",400492
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","1",,,"A","D","D","A","A","1","2","D","D",2,,,,,,,.,.,.,.,.,.,3,"3",,,,.,.,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","A","A",400492
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","1",,,"A","D","D","A","A","1","1","D","D",0,,,,,,,.,.,.,.,.,.,4,"3",,,,.,.,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","A","A",400492
.,.,.,574,7500,966,.,.,.,331,"A","A","A","D","D","D","A","A","A","D",175,.,.,.,60,"D","A","A","A","D",40,10,"D","D","1","5","1",,"03","D","D","D","A","D","1","1","D","D",55,,"2","2","2","2","2",.,0,.,.,1359,0,1,"1","43","3","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","D","D","A","A",400501
.,.,.,574,7500,966,.,.,.,331,"A","A","A","D","D","D","A","A","A","D",175,.,.,.,60,"D","A","A","A","D",40,10,"D","D","1","5","1",,"03","D","D","D","A","D","1","1","D","D",55,,"2","2","2","2","2",.,0,.,.,1359,0,1,"1","43","3","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","D","D","A","A",400502
4000,.,.,612,.,.,.,.,.,.,"D","A","A","D","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",5,30,"D","D","5","2","1",,"06","D","D","D","A","D","1","2","D","D",72,"1",,"2","1","2","2",12,612,750,.,.,9600,1,"1","39","3",,.,.,"D","D","A","D","D","D","D","D","D","D","A","D","D","D","A","A","D","A","A",400511
4000,.,.,612,.,.,.,.,.,.,"D","A","A","D","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",5,30,"D","D","5","2","1",,"06","D","D","D","A","D","1","2","D","D",72,"1",,"2","1","2","2",12,612,750,.,.,9600,1,"1","39","3",,.,.,"D","D","A","D","D","D","D","D","D","D","A","D","D","D","A","A","D","A","A",400512
.,.,.,2678,35000,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",45,52,"D","D","1","1","4",,"14","D","D","D","A","D","1","1","D","D",41,,"1","2","2","2","2",.,0,.,.,670,0,1,"1","39","3","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","D","D","A","A",400521
.,.,.,230,3000,.,.,.,.,.,"A","A","A","D","D","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",10,52,"D","D","1","1","4",,"06","D","D","D","A","D","1","2","D","D",40,,"1","2","2","2","2",.,0,.,.,50,0,2,"2","40","3","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","D","D","A","A",400521
.,.,.,2678,35000,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",45,52,"D","D","1","1","4",,"14","D","D","D","A","D","1","1","D","D",41,,"1","2","2","2","2",.,0,.,.,670,0,1,"1","39","3","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","D","D","A","A",400522
.,.,.,230,3000,.,.,.,.,.,"A","A","A","D","D","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",10,52,"D","D","1","1","4",,"06","D","D","D","A","D","1","2","D","D",40,,"1","2","2","2","2",.,0,.,.,50,0,2,"2","40","3","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","D","D","A","A",400522
22000,.,600,3366,.,.,.,.,.,.,"D","A","D","D","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",77,52,"D","D","5","5","4",,"01","D","D","D","A","D","1","2","D","D",43,,,"2","2","2","2",.,3366,.,.,.,0,1,"1","40","3","2",.,.,"D","A","A","D","D","D","D","D","D","D","D","A","D","A","A","A","D","A","A",400531
22000,.,600,3366,.,.,.,.,.,.,"D","A","D","D","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",77,52,"D","D","5","5","4",,"01","D","D","D","A","D","1","2","D","D",43,,,"2","2","2","2",.,3366,.,.,.,0,1,"1","40","3","2",.,.,"D","A","A","D","D","D","D","D","D","D","D","A","D","A","A","A","D","A","A",400532
.,.,.,1224,16000,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","A",.,.,.,.,.,"C","A","A","A","A",40,52,"D","D","1","5","2",,"13","D","D","D","A","D","2","1","D","D",24,,"2","2","2","2","2",.,0,.,.,600,0,1,"1","10",,"2",.,.,"D","A","D","D","D","D","D","D","D","A","D","A","D","A","A","D","D","A","A",400541
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","3",,,"A","D","D","A","A","2","1","D","D",8,,,,,,,.,.,.,.,.,.,3,"3",,,,.,.,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","A","A",400541
.,.,.,0,.,.,.,.,.,.,"A","A","A","D","C","B","A","A","A","A",.,.,.,.,.,"C","A","A","A","A",33,9,"D","D","1","3","3",,"10","D","D","D","A","D","2","2","D","D",26,,"2","2","2","2","2",.,0,.,.,300,0,2,"9","11",,"2",.,.,"D","A","D","D","D","D","D","D","D","A","D","A","D","A","A","D","D","A","A",400541
.,.,.,1224,16000,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","A",.,.,.,.,.,"C","A","A","A","A",40,52,"D","D","1","5","2",,"13","D","D","D","A","D","2","1","D","D",24,,"2","2","2","2","2",.,0,.,.,600,0,1,"1","10",,"2",.,.,"D","A","D","D","D","D","D","D","D","A","D","A","D","A","A","D","D","A","A",400542
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","3",,,"A","D","D","A","A","2","1","D","D",8,,,,,,,.,.,.,.,.,.,3,"3",,,,.,.,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","A","A",400542
.,.,.,0,.,.,.,.,.,.,"A","A","A","D","C","B","A","A","A","A",.,.,.,.,.,"C","A","A","A","A",33,9,"D","D","1","3","3",,"10","D","D","D","A","D","2","2","D","D",26,,"2","2","2","2","2",.,0,.,.,300,0,2,"9","11",,"2",.,.,"D","A","D","D","D","D","D","D","D","A","D","A","D","A","A","D","D","A","A",400542
.,.,.,536,7000,1071,.,.,.,288,"A","A","A","D","D","D","A","A","A","D",26,.,.,.,7,"D","A","A","A","D",32,42,"D","D","1","5","4",,"05","D","D","D","A","D","1","2","D","D",23,"1","1","1","1","2","2",12,0,.,.,170,600,1,"1","39","3","2",.,.,"D","D","D","D","D","D","D","D","D","D","D","D","D","B","A","D","D","A","A",400551
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","4",,,"A","D","D","A","A","1","1","D","D",3,,,,,,,.,.,.,.,.,.,2,"3",,,,.,.,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","A","A",400551
.,.,.,19,250,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",40,11,"D","D","1","5","3",,"13","D","D","D","A","D","2","1","D","D",29,,"1","2","2","2","2",.,0,.,.,250,0,3,"9","39","3","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","D","D","A","A",400551
.,.,.,536,7000,1071,.,.,.,288,"A","A","A","D","D","D","A","A","A","D",26,.,.,.,7,"D","A","A","A","D",32,42,"D","D","1","5","4",,"05","D","D","D","A","D","1","2","D","D",23,"1","1","1","1","2","2",12,0,.,.,170,600,1,"1","39","3","2",.,.,"D","D","D","D","D","D","D","D","D","D","D","D","D","B","A","D","D","A","A",400552
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","4",,,"A","D","D","A","A","1","1","D","D",3,,,,,,,.,.,.,.,.,.,2,"3",,,,.,.,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","A","A",400552
.,.,.,19,250,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",40,11,"D","D","1","5","3",,"13","D","D","D","A","D","2","1","D","D",29,,"1","2","2","2","2",.,0,.,.,250,0,3,"9","39","3","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","D","D","A","A",400552
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"5","1","3",,"A","D","D","D","A","1","2","D","D",21,,,"2","2","2","2",.,.,.,.,.,0,1,"1","40","1","2",.,.,"D","A","A","D","D","D","D","D","D","D","D","A","A","A","A","A","D","A","A",400561
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"5","1","3",,"A","D","D","D","A","1","2","D","D",21,,,"2","2","2","2",.,.,.,.,.,0,1,"1","40","1","2",.,.,"D","A","A","D","D","D","D","D","D","D","D","A","A","A","A","A","D","A","A",400562
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"1","1","2",,"A","D","D","D","A","1","2","D","D",38,,,"2","2","2","2",.,.,.,.,.,0,1,"1","39","3","2",.,.,"D","A","A","D","D","D","D","D","D","D","D","A","A","A","A","A","D","A","A",400571
.,.,.,0,.,.,.,.,.,.,"A","A","A","D","C","B","A","A","A","A",.,.,.,.,.,"C","A","A","A","A",25,52,"D","D","1","1","1",,"12","D","D","D","A","D","1","1","D","D",40,,,"2","2","2","2",.,0,.,.,.,0,6,"2","39","3","2",.,.,"D","A","A","D","D","D","D","D","D","D","D","A","D","A","A","C","D","A","A",400571
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"5","1","3",,"A","D","D","D","A","1","2","D","D",14,,,"2","2","2","2",.,.,.,.,.,0,2,"3","08",,,7,5,"D","A","A","D","D","D","D","D","D","A","A","A","A","A","A","A","D","D","D",400571
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","1",,,"A","D","D","A","A","1","2","D","D",12,,,,,,,.,.,.,.,.,.,3,"3",,,,7,13,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","D","D",400571
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","1",,,"A","D","D","A","A","1","2","D","D",3,,,,,,,.,.,.,.,.,.,4,"3",,,,.,.,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","A","A",400571
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","1",,,"A","D","D","A","A","1","1","D","D",3,,,,,,,.,.,.,.,.,.,5,"3",,,,.,.,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","A","A",400571
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"1","1","2",,"A","D","D","D","A","1","2","D","D",38,,,"2","2","2","2",.,.,.,.,.,0,1,"1","39","3","2",.,.,"D","A","A","D","D","D","D","D","D","D","D","A","A","A","A","A","D","A","A",400572
.,.,.,0,.,.,.,.,.,.,"A","A","A","D","C","B","A","A","A","A",.,.,.,.,.,"C","A","A","A","A",25,52,"D","D","1","1","1",,"12","D","D","D","A","D","1","1","D","D",40,,,"2","2","2","2",.,0,.,.,.,0,6,"2","39","3","2",.,.,"D","A","A","D","D","D","D","D","D","D","D","A","D","A","A","C","D","A","A",400572
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"5","1","3",,"A","D","D","D","A","1","2","D","D",14,,,"2","2","2","2",.,.,.,.,.,0,2,"3","08",,,7,5,"D","A","A","D","D","D","D","D","D","A","A","A","A","A","A","A","D","D","D",400572
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","1",,,"A","D","D","A","A","1","2","D","D",12,,,,,,,.,.,.,.,.,.,3,"3",,,,7,13,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","D","D",400572
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","1",,,"A","D","D","A","A","1","2","D","D",3,,,,,,,.,.,.,.,.,.,4,"3",,,,.,.,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","A","A",400572
