"HH_CU_Q","hhid","hhid_","newid"
1,.,"A",440671
1,.,"A",440672
1,.,"A",440681
1,.,"A",440682
1,.,"A",440691
1,.,"A",440692
1,.,"A",440701
1,.,"A",440702
1,.,"A",440711
1,.,"A",440712
1,.,"A",440721
1,.,"A",440722
1,.,"A",440731
1,.,"A",440732
1,.,"A",440741
1,.,"A",440742
1,.,"A",440751
1,.,"A",440752
1,.,"A",440762
1,.,"A",440771
1,.,"A",440772
1,.,"A",440781
1,.,"A",440782
1,.,"A",440791
1,.,"A",440792
1,.,"A",440801
1,.,"A",440802
1,.,"A",440811
1,.,"A",440812
1,.,"A",440821
1,.,"A",440822
1,.,"A",440831
1,.,"A",440832
1,.,"A",440841
1,.,"A",440842
1,.,"A",440851
1,.,"A",440852
1,.,"A",440861
1,.,"A",440862
1,.,"A",440871
1,.,"A",440872
1,.,"A",440881
1,.,"A",440882
3,22,"D",440891
3,47,"D",440892
1,.,"A",440901
1,.,"A",440902
1,.,"A",440911
1,.,"A",440912
1,.,"A",440921
1,.,"A",440931
1,.,"A",440932
1,.,"A",440942
1,.,"A",440951
1,.,"A",440952
1,.,"A",440961
1,.,"A",440962
1,.,"A",440971
1,.,"A",440972
1,.,"A",440981
1,.,"A",440982
1,.,"A",440991
1,.,"A",440992
1,.,"A",441001
1,.,"A",441002
1,.,"A",441011
1,.,"A",441012
1,.,"A",441021
1,.,"A",441022
1,.,"A",441031
1,.,"A",441032
1,.,"A",441041
1,.,"A",441042
1,.,"A",441051
1,.,"A",441052
1,.,"A",441061
1,.,"A",441062
1,.,"A",441071
1,.,"A",441072
1,.,"A",441081
1,.,"A",441091
1,.,"A",441092
1,.,"A",441101
1,.,"A",441102
1,.,"A",441111
1,.,"A",441112
1,.,"A",441121
1,.,"A",441122
1,.,"A",441131
1,.,"A",441132
1,.,"A",441141
1,.,"A",441142
1,.,"A",441151
1,.,"A",441152
1,.,"A",441161
1,.,"A",441162
1,.,"A",441171
1,.,"A",441172
1,.,"A",441181
1,.,"A",441182
1,.,"A",441191
1,.,"A",441192
1,.,"A",441201
1,.,"A",441202
1,.,"A",441211
1,.,"A",441212
1,.,"A",441221
1,.,"A",441222
1,.,"A",441231
1,.,"A",441232
1,.,"A",441241
1,.,"A",441242
1,.,"A",441251
1,.,"A",441252
1,.,"A",441261
1,.,"A",441262
1,.,"A",441271
1,.,"A",441272
1,.,"A",441281
1,.,"A",441282
1,.,"A",441291
1,.,"A",441292
1,.,"A",441301
1,.,"A",441302
1,.,"A",441311
1,.,"A",441321
1,.,"A",441322
1,.,"A",441331
1,.,"A",441332
1,.,"A",441341
1,.,"A",441342
1,.,"A",441351
1,.,"A",441352
1,.,"A",441361
1,.,"A",441362
1,.,"A",441371
1,.,"A",441372
1,.,"A",441381
1,.,"A",441382
2,13,"D",441391
2,40,"D",441392
1,.,"A",441401
1,.,"A",441402
1,.,"A",441411
1,.,"A",441412
1,.,"A",441421
1,.,"A",441422
1,.,"A",441431
1,.,"A",441432
1,.,"A",441441
1,.,"A",441442
1,.,"A",441451
1,.,"A",441452
1,.,"A",441461
1,.,"A",441462
1,.,"A",441471
1,.,"A",441472
1,.,"A",441481
1,.,"A",441482
1,.,"A",441491
1,.,"A",441492
1,.,"A",441501
1,.,"A",441502
1,.,"A",441511
1,.,"A",441512
1,.,"A",441521
1,.,"A",441522
1,.,"A",441532
1,.,"A",441541
1,.,"A",441542
1,.,"A",441551
1,.,"A",441552
1,.,"A",441561
1,.,"A",441562
1,.,"A",441572
1,.,"A",441581
1,.,"A",441591
1,.,"A",441592
1,.,"A",441601
1,.,"A",441602
1,.,"A",441611
1,.,"A",441612
1,.,"A",441621
1,.,"A",441631
1,.,"A",441632
1,.,"A",441641
1,.,"A",441642
1,.,"A",441651
1,.,"A",441652
1,.,"A",441661
1,.,"A",441662
1,.,"A",441671
1,.,"A",441672
1,.,"A",441681
1,.,"A",441682
1,.,"A",441691
1,.,"A",441692
1,.,"A",441701
1,.,"A",441702
1,.,"A",441711
1,.,"A",441712
1,.,"A",441721
1,.,"A",441722
1,.,"A",441731
1,.,"A",441732
3,24,"D",441741
3,48,"D",441742
1,.,"A",441751
1,.,"A",441752
1,.,"A",441761
1,.,"A",441762
1,.,"A",441771
1,.,"A",441772
1,.,"A",441781
1,.,"A",441782
1,.,"A",441791
1,.,"A",441792
1,.,"A",441801
1,.,"A",441802
1,.,"A",441811
1,.,"A",441812
1,.,"A",441821
1,.,"A",441822
1,.,"A",441831
1,.,"A",441832
1,.,"A",441841
1,.,"A",441842
1,.,"A",441851
1,.,"A",441852
2,16,"D",441861
2,43,"D",441862
1,.,"A",441871
1,.,"A",441872
1,.,"A",441881
1,.,"A",441882
1,.,"A",441891
1,.,"A",441892
1,.,"A",441901
1,.,"A",441902
1,.,"A",441911
1,.,"A",441912
1,.,"A",441921
1,.,"A",441922
3,34,"D",441932
1,.,"A",441941
1,.,"A",441942
3,6,"D",441951
3,33,"D",441952
1,.,"A",441961
1,.,"A",441962
1,.,"A",441971
1,.,"A",441972
1,.,"A",441982
1,.,"A",441991
1,.,"A",441992
1,.,"A",442001
1,.,"A",442002
1,.,"A",442011
1,.,"A",442012
1,.,"A",442021
1,.,"A",442022
1,.,"A",442031
1,.,"A",442032
1,.,"A",442041
1,.,"A",442042
1,.,"A",442051
1,.,"A",442052
1,.,"A",442061
1,.,"A",442062
1,.,"A",442072
1,.,"A",442081
1,.,"A",442091
1,.,"A",442092
1,.,"A",442102
1,.,"A",442111
1,.,"A",442112
1,.,"A",442121
1,.,"A",442122
1,.,"A",442131
1,.,"A",442132
1,.,"A",442141
1,.,"A",442142
1,.,"A",442151
1,.,"A",442152
1,.,"A",442161
1,.,"A",442162
1,.,"A",442171
1,.,"A",442172
1,.,"A",442181
1,.,"A",442182
1,.,"A",442191
1,.,"A",442192
1,.,"A",442201
1,.,"A",442202
1,.,"A",442211
1,.,"A",442212
1,.,"A",442221
1,.,"A",442222
1,.,"A",442231
1,.,"A",442232
