"HRSPERWK","WKS_WRKD","EMPLTYPE","MARITAL","ORIGIN","WHYNOWRK","OCCULIST","RACE","SEX","HRSP_RWK","WKS__RKD","EMPL_YPE","MARITAL_","ORIGIN_","WHYN_WRK","OCCU_IST","RACE_","SEX_","NEWID","AGE","AGE_","ANFEDTXX","ANFE_TXX","ANGVX","ANGVX_","ANPVTX","ANPVTX_","ANRRX","ANRRX_","ANSTATXX","ANST_TXX","ANYRAIL","ANYRAIL_","ANYSSINC","ANYS_INC","BSNSX","BSNSX_","CU_CODE1","CU_C_DE1","EDUCA","EDUCA_","FARMX","FARMX_","FEDTXX","FEDTXX_","GROSPAYX","GROS_AYX","GVX","GVX_","IRAX","IRAX_","JSSDEDX","JSSDEDX_","MEMBNO","PVTX","PVTX_","RRX","RRX_","SCHLNCHQ","SCHL_CHQ","SCHLNCHX","SCHL_CHX","SLFEMPSS","SLFE_PSS","SS_RRX","SS_RRX_","STA_SUPP","STA__UPP","STATXX","STATXX_","SUPPX","SUPPX_","US_SUPP","US_SUPP_","WAGEX","WAGEX_","SS_RRQ","SS_RRQ_","SOCRRX","SOCRRX_","ARM_FORC","ARM__ORC","IN_COLL","IN_COLL_","MEDICARE","MEDI_ARE","PAYPERD","PAYPERD_"
10,10,"1","5","4",,"10","1","1","D","D","D","D","D","A","D","D","D",420001,24,"D",.,"B",.,"A",.,"A",.,"A",.,"B","2","D","2","D",.,"A","1","D","40","D",.,"A",.,"C",51,"D",.,"A",.,"A",39,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",515,"D",.,"A",0,"D","2","D","1","D",,"A","1","D"
10,10,"1","5","4",,"10","1","1","D","D","D","D","D","A","D","D","D",420002,24,"D",.,"B",.,"A",.,"A",.,"A",.,"B","2","D","2","D",.,"A","1","D","40","D",.,"A",.,"C",51,"D",.,"A",.,"A",39,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",515,"D",.,"A",0,"D","2","D","1","D",,"A","1","D"
40,28,"1","2","3",,"04","2","2","D","D","D","D","D","A","D","D","D",420011,50,"D",1798,"D",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","1","D","40","D",.,"A",29,"D",500,"D",.,"A",.,"A",2372,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"A",.,"A","2","D",31000,"D",.,"A",0,"D","2","D","3","D",,"A","1","D"
40,52,"1","1","3",,"12","2","1","D","D","D","D","D","A","D","D","D",420011,29,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","4","D","39","D",.,"A",.,"A",.,"C",.,"A",.,"A",0,"D",2,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"A",.,"A","2","D",.,"C",.,"A",0,"D","2","D","3","D",,"A",,"A"
.,.,,"5","3",,,"2","1","A","A","A","D","D","A","A","D","D",420011,8,"D",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",.,"A","4","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",3,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A"
40,28,"1","2","3",,"04","2","2","D","D","D","D","D","A","D","D","D",420012,50,"D",1798,"D",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","1","D","40","D",.,"A",29,"D",500,"D",.,"A",.,"A",2372,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"A",.,"A","2","D",31000,"D",.,"A",0,"D","2","D","3","D",,"A","1","D"
40,52,"1","1","3",,"12","2","1","D","D","D","D","D","A","D","D","D",420012,29,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","4","D","39","D",.,"A",.,"A",.,"C",.,"A",.,"A",0,"D",2,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"A",.,"A","2","D",.,"C",.,"A",0,"D","2","D","3","D",,"A",,"A"
.,.,,"5","3",,,"2","1","A","A","A","D","D","A","A","D","D",420012,8,"D",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",.,"A","4","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",3,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A"
40,52,"1","3","4",,"14","1","1","D","D","D","D","D","A","D","D","D",420021,39,"D",7816,"D",.,"A",.,"A",.,"A",1184,"D","2","D","2","D",.,"A","1","D","41","D",.,"A",330,"D",1900,"D",.,"A",7280,"D",3443,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",50,"D",.,"A","2","D",45000,"D",.,"A",0,"D","2","D","3","D",,"A","2","D"
.,0,,"5","4","3",,"1","2","A","D","A","D","D","D","A","D","D",420021,16,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","3","D","10","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",2,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D",,"A",,"A",,"A"
40,52,"1","3","4",,"14","1","1","D","D","D","D","D","A","D","D","D",420022,39,"D",7816,"D",.,"A",.,"A",.,"A",1184,"D","2","D","2","D",.,"A","1","D","41","D",.,"A",330,"D",1900,"D",.,"A",7280,"D",3443,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",50,"D",.,"A","2","D",45000,"D",.,"A",0,"D","2","D","3","D",,"A","2","D"
.,0,,"5","4","3",,"1","2","A","D","A","D","D","D","A","D","D",420022,16,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","3","D","10","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",2,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D",,"A",,"A",,"A"
