"HH_CU_Q","hhid","hhid_","newid"
1,.,"A",501141
1,.,"A",501142
1,.,"A",501151
1,.,"A",501152
1,.,"A",501161
1,.,"A",501162
1,.,"A",501171
1,.,"A",501172
1,.,"A",501181
1,.,"A",501182
1,.,"A",501191
1,.,"A",501192
1,.,"A",501201
1,.,"A",501202
1,.,"A",501211
1,.,"A",501212
1,.,"A",501221
1,.,"A",501222
1,.,"A",501231
1,.,"A",501232
1,.,"A",501241
1,.,"A",501242
1,.,"A",501251
1,.,"A",501252
1,.,"A",501261
1,.,"A",501262
1,.,"A",501271
1,.,"A",501272
1,.,"A",501281
1,.,"A",501282
1,.,"A",501291
1,.,"A",501292
1,.,"A",501302
2,22,"D",501311
1,.,"A",501321
1,.,"A",501322
1,.,"A",501331
1,.,"A",501332
1,.,"A",501342
1,.,"A",501351
1,.,"A",501352
1,.,"A",501361
1,.,"A",501362
1,.,"A",501371
1,.,"A",501372
1,.,"A",501381
1,.,"A",501382
3,5,"D",501391
3,44,"D",501392
1,.,"A",501402
2,31,"D",501411
2,71,"D",501412
1,.,"A",501422
1,.,"A",501431
1,.,"A",501432
1,.,"A",501441
1,.,"A",501442
1,.,"A",501451
1,.,"A",501452
2,47,"D",501462
1,.,"A",501471
1,.,"A",501472
1,.,"A",501481
1,.,"A",501482
1,.,"A",501491
1,.,"A",501492
1,.,"A",501501
1,.,"A",501502
1,.,"A",501511
1,.,"A",501512
1,.,"A",501521
1,.,"A",501522
1,.,"A",501531
1,.,"A",501532
1,.,"A",501541
1,.,"A",501542
1,.,"A",501551
1,.,"A",501552
1,.,"A",501561
1,.,"A",501562
1,.,"A",501571
1,.,"A",501572
1,.,"A",501582
1,.,"A",501591
1,.,"A",501592
3,19,"D",501601
3,59,"D",501602
1,.,"A",501612
1,.,"A",501621
1,.,"A",501622
1,.,"A",501631
1,.,"A",501632
1,.,"A",501641
1,.,"A",501642
1,.,"A",501651
1,.,"A",501652
1,.,"A",501661
1,.,"A",501662
1,.,"A",501671
1,.,"A",501672
1,.,"A",501681
1,.,"A",501682
1,.,"A",501691
1,.,"A",501692
1,.,"A",501701
1,.,"A",501702
1,.,"A",501711
1,.,"A",501712
1,.,"A",501721
1,.,"A",501722
1,.,"A",501731
1,.,"A",501732
1,.,"A",501741
1,.,"A",501742
1,.,"A",501751
1,.,"A",501752
1,.,"A",501761
1,.,"A",501762
1,.,"A",501771
1,.,"A",501772
1,.,"A",501781
1,.,"A",501782
1,.,"A",501791
1,.,"A",501792
1,.,"A",501801
1,.,"A",501802
1,.,"A",501811
1,.,"A",501812
1,.,"A",501821
1,.,"A",501822
1,.,"A",501831
1,.,"A",501832
1,.,"A",501841
1,.,"A",501842
1,.,"A",501851
1,.,"A",501852
1,.,"A",501861
1,.,"A",501862
1,.,"A",501871
1,.,"A",501872
1,.,"A",501881
1,.,"A",501882
1,.,"A",501891
1,.,"A",501892
1,.,"A",501901
1,.,"A",501902
1,.,"A",501911
1,.,"A",501912
1,.,"A",501921
1,.,"A",501922
1,.,"A",501931
1,.,"A",501932
1,.,"A",501941
1,.,"A",501951
1,.,"A",501952
1,.,"A",501961
1,.,"A",501971
1,.,"A",501972
1,.,"A",501981
1,.,"A",501982
2,34,"D",501991
2,74,"D",501992
1,.,"A",502001
1,.,"A",502002
1,.,"A",502011
1,.,"A",502012
1,.,"A",502021
1,.,"A",502022
1,.,"A",502031
1,.,"A",502032
1,.,"A",502041
1,.,"A",502042
1,.,"A",502051
1,.,"A",502061
1,.,"A",502062
1,.,"A",502071
1,.,"A",502072
1,.,"A",502081
1,.,"A",502082
1,.,"A",502091
1,.,"A",502092
1,.,"A",502101
1,.,"A",502102
1,.,"A",502111
1,.,"A",502112
1,.,"A",502121
1,.,"A",502122
1,.,"A",502131
1,.,"A",502132
1,.,"A",502141
1,.,"A",502142
1,.,"A",502151
1,.,"A",502152
1,.,"A",502161
1,.,"A",502162
1,.,"A",502171
1,.,"A",502172
1,.,"A",502181
1,.,"A",502182
1,.,"A",502191
1,.,"A",502201
1,.,"A",502211
1,.,"A",502212
1,.,"A",502221
1,.,"A",502222
1,.,"A",502231
1,.,"A",502232
1,.,"A",502241
1,.,"A",502242
1,.,"A",502251
1,.,"A",502252
1,.,"A",502261
1,.,"A",502262
1,.,"A",502271
1,.,"A",502272
1,.,"A",502281
1,.,"A",502282
1,.,"A",502291
1,.,"A",502292
1,.,"A",502301
1,.,"A",502302
1,.,"A",502311
1,.,"A",502312
1,.,"A",502321
1,.,"A",502322
1,.,"A",502331
1,.,"A",502332
1,.,"A",502341
1,.,"A",502342
1,.,"A",502351
1,.,"A",502352
1,.,"A",502361
1,.,"A",502362
1,.,"A",502371
1,.,"A",502372
1,.,"A",502382
1,.,"A",502391
1,.,"A",502392
1,.,"A",502402
1,.,"A",502411
1,.,"A",502412
1,.,"A",502421
1,.,"A",502422
1,.,"A",502431
1,.,"A",502432
1,.,"A",502441
1,.,"A",502442
1,.,"A",502452
1,.,"A",502461
1,.,"A",502462
1,.,"A",502471
1,.,"A",502472
