"HRSPERWK","WKS_WRKD","EMPLTYPE","MARITAL","HISPANIC","WHYNOWRK","OCCULIST","MEMBRACE","SEX","HRSP_RWK","WKS__RKD","EMPL_YPE","HISP_NIC","WHYN_WRK","OCCU_IST","NEWID","AGE","AGE_","ANFEDTXX","ANFE_TXX","ANGVX","ANGVX_","ANPVTX","ANPVTX_","ANRRX","ANRRX_","ANSTATXX","ANST_TXX","ANYRAIL","ANYRAIL_","ANYSSINC","ANYS_INC","BSNSX","BSNSX_","CU_CODE1","EDUCA","EDUCA_","FARMX","FARMX_","FEDTXX","FEDTXX_","GROSPAYX","GROS_AYX","GVX","GVX_","IRAX","IRAX_","JSSDEDX","JSSDEDX_","MEMBNO","PVTX","PVTX_","RRX","RRX_","SCHLNCHQ","SCHL_CHQ","SCHLNCHX","SCHL_CHX","SLFEMPSS","SLFE_PSS","SS_RRX","SS_RRX_","STA_SUPP","STA__UPP","STATXX","STATXX_","SUPPX","SUPPX_","US_SUPP","US_SUPP_","WAGEX","WAGEX_","SS_RRQ","SS_RRQ_","SOCRRX","SOCRRX_","ARM_FORC","ARM__ORC","IN_COLL","IN_COLL_","MEDICARE","MEDI_ARE","PAYPERD","PAYPERD_","HORIGIN","RC_WHITE","RC_W_ITE","RC_BLACK","RC_B_ACK","RC_NATAM","RC_N_TAM","RC_ASIAN","RC_A_IAN","RC_PACIL","RC_P_CIL","RC_OTHER","RC_O_HER","RC_DK","RC_DK_"
40,52,"1","1",,,"10","1","2","D","D","D","A","A","D",521731,47,"D",.,"B",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","1","39","D",.,"A",.,"C",320,"D",.,"A",.,"A",1301,"D",2,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"A",.,"A","2","D",17000,"D",.,"A",0,"D","2","D","3","D",,"A","1","D","2","1","D",,"A",,"A",,"A",,"A",,"A",,"A"
40,36,"1","1",,,"10","1","1","D","D","D","A","A","D",521731,51,"D",.,"B",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","2","39","D",.,"A",.,"C",280,"D",.,"A",.,"A",1301,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"A",.,"A","2","D",17000,"D",.,"A",0,"D","2","D","3","D",,"A","1","D","2","1","D",,"A",,"A",,"A",,"A",,"A",,"A"
.,.,,"5",,,,"1","1","A","A","A","A","A","A",521731,10,"D",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",.,"A","3",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",3,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A","2","1","D",,"A",,"A",,"A",,"A",,"A",,"A"
40,52,"1","1",,,"10","1","2","D","D","D","A","A","D",521732,47,"D",.,"B",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","1","39","D",.,"A",.,"C",320,"D",.,"A",.,"A",1301,"D",2,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"A",.,"A","2","D",17000,"D",.,"A",0,"D","2","D","3","D",,"A","1","D","2","1","D",,"A",,"A",,"A",,"A",,"A",,"A"
40,36,"1","1",,,"10","1","1","D","D","D","A","A","D",521732,51,"D",.,"B",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","2","39","D",.,"A",.,"C",280,"D",.,"A",.,"A",1301,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"A",.,"A","2","D",17000,"D",.,"A",0,"D","2","D","3","D",,"A","1","D","2","1","D",,"A",,"A",,"A",,"A",,"A",,"A"
.,.,,"5",,,,"1","1","A","A","A","A","A","A",521732,10,"D",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",.,"A","3",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",3,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A","2","1","D",,"A",,"A",,"A",,"A",,"A",,"A"
40,52,"1","1",,,"03","1","2","D","D","D","A","A","D",521741,49,"D",.,"B",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","1","40","D",.,"A",.,"C",1700,"D",.,"A",.,"A",3443,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"A",.,"A","2","D",45000,"D",.,"A",0,"D","2","D","3","D",,"A","2","D","2","1","D",,"A",,"A",,"A",,"A",,"A",,"A"
40,52,"1","1",,,"14","1","1","D","D","D","A","A","D",521741,45,"D",.,"B",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","2","42","D",.,"A",.,"C",575,"D",.,"A",.,"A",2295,"D",2,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"A",.,"A","2","D",30000,"D",.,"A",0,"D","2","D","3","D",,"A","1","D","2","1","D",,"A",,"A",,"A",,"A",,"A",,"A"
.,0,,"5",,"3",,"1","2","A","D","A","A","D","A",521741,17,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","3","11","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",3,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D",,"A",,"A",,"A","2","1","D",,"A",,"A",,"A",,"A",,"A",,"A"
.,0,,"5",,"3",,"1","2","A","D","A","A","D","A",521741,14,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","3","08","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",4,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D",,"A",,"A",,"A",,"A","2","1","D",,"A",,"A",,"A",,"A",,"A",,"A"
.,.,,"5",,,,"1","2","A","A","A","A","A","A",521741,11,"D",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",.,"A","3",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",5,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A","2","1","D",,"A",,"A",,"A",,"A",,"A",,"A"
