"HH_CU_Q","hhid","hhid_","newid"
1,.,"A",621891
1,.,"A",621892
1,.,"A",621901
1,.,"A",621902
1,.,"A",621911
1,.,"A",621912
1,.,"A",621921
1,.,"A",621922
1,.,"A",621931
1,.,"A",621932
1,.,"A",621941
1,.,"A",621942
1,.,"A",621952
1,.,"A",621961
1,.,"A",621962
1,.,"A",621971
1,.,"A",621972
1,.,"A",621981
1,.,"A",621982
1,.,"A",621991
1,.,"A",621992
1,.,"A",622001
1,.,"A",622002
1,.,"A",622011
1,.,"A",622012
1,.,"A",622021
1,.,"A",622022
1,.,"A",622031
1,.,"A",622032
1,.,"A",622041
1,.,"A",622042
1,.,"A",622051
1,.,"A",622052
1,.,"A",622061
1,.,"A",622062
1,.,"A",622071
1,.,"A",622072
1,.,"A",622081
1,.,"A",622082
1,.,"A",622091
1,.,"A",622092
1,.,"A",622101
1,.,"A",622102
1,.,"A",622111
1,.,"A",622112
1,.,"A",622121
1,.,"A",622122
1,.,"A",622131
1,.,"A",622132
3,29,"D",622141
3,68,"D",622142
1,.,"A",622151
1,.,"A",622161
1,.,"A",622162
1,.,"A",622171
1,.,"A",622172
1,.,"A",622181
1,.,"A",622182
1,.,"A",622191
1,.,"A",622192
1,.,"A",622201
1,.,"A",622202
1,.,"A",622211
1,.,"A",622212
1,.,"A",622221
1,.,"A",622222
1,.,"A",622231
1,.,"A",622232
1,.,"A",622241
1,.,"A",622242
1,.,"A",622251
1,.,"A",622252
1,.,"A",622262
1,.,"A",622271
1,.,"A",622272
1,.,"A",622281
1,.,"A",622291
1,.,"A",622292
1,.,"A",622301
1,.,"A",622302
1,.,"A",622311
1,.,"A",622312
1,.,"A",622321
1,.,"A",622322
1,.,"A",622332
1,.,"A",622341
1,.,"A",622342
1,.,"A",622351
1,.,"A",622352
1,.,"A",622361
1,.,"A",622362
1,.,"A",622372
1,.,"A",622381
1,.,"A",622382
1,.,"A",622391
1,.,"A",622392
1,.,"A",622402
1,.,"A",622411
1,.,"A",622412
1,.,"A",622421
1,.,"A",622422
1,.,"A",622431
1,.,"A",622432
1,.,"A",622441
1,.,"A",622442
1,.,"A",622451
1,.,"A",622452
1,.,"A",622461
1,.,"A",622462
1,.,"A",622471
1,.,"A",622472
1,.,"A",622481
1,.,"A",622482
1,.,"A",622491
1,.,"A",622492
1,.,"A",622501
1,.,"A",622502
1,.,"A",622511
1,.,"A",622521
1,.,"A",622522
1,.,"A",622531
1,.,"A",622532
2,18,"D",622541
2,55,"D",622542
1,.,"A",622551
1,.,"A",622552
1,.,"A",622561
1,.,"A",622562
1,.,"A",622571
1,.,"A",622572
1,.,"A",622582
1,.,"A",622591
1,.,"A",622592
1,.,"A",622601
1,.,"A",622602
1,.,"A",622611
1,.,"A",622612
1,.,"A",622621
1,.,"A",622622
1,.,"A",622631
1,.,"A",622632
1,.,"A",622641
1,.,"A",622642
1,.,"A",622651
1,.,"A",622652
1,.,"A",622661
1,.,"A",622662
1,.,"A",622671
1,.,"A",622672
1,.,"A",622681
1,.,"A",622682
1,.,"A",622691
1,.,"A",622692
1,.,"A",622701
1,.,"A",622702
1,.,"A",622711
1,.,"A",622721
1,.,"A",622722
1,.,"A",622731
1,.,"A",622732
1,.,"A",622741
1,.,"A",622742
1,.,"A",622751
1,.,"A",622752
1,.,"A",622761
1,.,"A",622762
1,.,"A",622771
1,.,"A",622772
1,.,"A",622781
1,.,"A",622782
1,.,"A",622791
1,.,"A",622792
1,.,"A",622801
1,.,"A",622802
1,.,"A",622811
1,.,"A",622812
1,.,"A",622821
1,.,"A",622822
1,.,"A",622831
1,.,"A",622832
1,.,"A",622841
1,.,"A",622842
1,.,"A",622851
1,.,"A",622852
1,.,"A",622861
1,.,"A",622862
1,.,"A",622871
1,.,"A",622872
1,.,"A",622881
1,.,"A",622882
1,.,"A",622891
1,.,"A",622892
1,.,"A",622901
1,.,"A",622902
1,.,"A",622912
1,.,"A",622921
1,.,"A",622922
1,.,"A",622931
1,.,"A",622932
1,.,"A",622942
1,.,"A",622951
1,.,"A",622952
1,.,"A",622961
1,.,"A",622962
1,.,"A",622971
1,.,"A",622981
1,.,"A",622982
1,.,"A",622991
1,.,"A",622992
1,.,"A",623002
1,.,"A",623011
1,.,"A",623021
1,.,"A",623022
1,.,"A",623031
1,.,"A",623032
1,.,"A",623041
1,.,"A",623042
1,.,"A",623052
1,.,"A",623061
1,.,"A",623062
1,.,"A",623071
1,.,"A",623072
1,.,"A",623081
1,.,"A",623082
1,.,"A",623091
1,.,"A",623092
1,.,"A",623101
1,.,"A",623102
1,.,"A",623111
1,.,"A",623112
1,.,"A",623121
1,.,"A",623122
1,.,"A",623131
1,.,"A",623132
1,.,"A",623141
1,.,"A",623142
1,.,"A",623151
1,.,"A",623161
1,.,"A",623162
1,.,"A",623171
1,.,"A",623172
1,.,"A",623181
1,.,"A",623182
1,.,"A",623191
1,.,"A",623192
1,.,"A",623201
1,.,"A",623202
1,.,"A",623211
