"NEWID","UCC","PUB_FLAG","AMOUNT","AMOUNT_","IMPNUM"
613571,"800940","1",11436,,"1"
613571,"800940","1",11436,,"2"
613571,"800940","1",11436,,"3"
613571,"800940","1",11436,,"4"
613571,"800940","1",11436,,"5"
613571,"900000","1",141000,,"1"
613571,"900000","1",141000,,"2"
613571,"900000","1",141000,,"3"
613571,"900000","1",141000,,"4"
613571,"900000","1",141000,,"5"
613571,"900010","1",10000,,"1"
613571,"900010","1",10000,,"2"
613571,"900010","1",10000,,"3"
613571,"900010","1",10000,,"4"
613571,"900010","1",10000,,"5"
613571,"900060","1",1100,,"1"
613571,"900060","1",1100,,"2"
613571,"900060","1",1100,,"3"
613571,"900060","1",1100,,"4"
613571,"900060","1",1100,,"5"
613571,"900070","1",1100,,"1"
613571,"900070","1",1100,,"2"
613571,"900070","1",1100,,"3"
613571,"900070","1",1100,,"4"
613571,"900070","1",1100,,"5"
613571,"900080","1",200,,"1"
613571,"900080","1",200,,"2"
613571,"900080","1",200,,"3"
613571,"900080","1",200,,"4"
613571,"900080","1",200,,"5"
613571,"950000","1",17042,,"1"
613571,"950000","1",17042,,"2"
613571,"950000","1",17042,,"3"
613571,"950000","1",17042,,"4"
613571,"950000","1",17042,,"5"
613571,"950010","1",5798,,"1"
613571,"950010","1",5798,,"2"
613571,"950010","1",5798,,"3"
613571,"950010","1",5798,,"4"
613571,"950010","1",5798,,"5"
613571,"980000","1",153400,,"1"
613571,"980000","1",153400,,"2"
613571,"980000","1",153400,,"3"
613571,"980000","1",153400,,"4"
613571,"980000","1",153400,,"5"
613571,"980070","1",35014,"T","1"
613571,"980070","1",35014,"T","2"
613571,"980070","1",35014,"T","3"
613571,"980070","1",35014,"T","4"
613571,"980070","1",35014,"T","5"
613572,"800940","1",11436,,"1"
613572,"800940","1",11436,,"2"
613572,"800940","1",11436,,"3"
613572,"800940","1",11436,,"4"
613572,"800940","1",11436,,"5"
613572,"900000","1",141000,,"1"
613572,"900000","1",141000,,"2"
613572,"900000","1",141000,,"3"
613572,"900000","1",141000,,"4"
613572,"900000","1",141000,,"5"
613572,"900010","1",10000,,"1"
613572,"900010","1",10000,,"2"
613572,"900010","1",10000,,"3"
613572,"900010","1",10000,,"4"
613572,"900010","1",10000,,"5"
613572,"900060","1",1100,,"1"
613572,"900060","1",1100,,"2"
613572,"900060","1",1100,,"3"
613572,"900060","1",1100,,"4"
613572,"900060","1",1100,,"5"
613572,"900070","1",1100,,"1"
613572,"900070","1",1100,,"2"
613572,"900070","1",1100,,"3"
613572,"900070","1",1100,,"4"
613572,"900070","1",1100,,"5"
613572,"900080","1",200,,"1"
613572,"900080","1",200,,"2"
613572,"900080","1",200,,"3"
613572,"900080","1",200,,"4"
613572,"900080","1",200,,"5"
613572,"950000","1",17042,,"1"
613572,"950000","1",17042,,"2"
613572,"950000","1",17042,,"3"
613572,"950000","1",17042,,"4"
613572,"950000","1",17042,,"5"
613572,"950010","1",5798,,"1"
613572,"950010","1",5798,,"2"
613572,"950010","1",5798,,"3"
613572,"950010","1",5798,,"4"
613572,"950010","1",5798,,"5"
613572,"980000","1",153400,,"1"
613572,"980000","1",153400,,"2"
613572,"980000","1",153400,,"3"
613572,"980000","1",153400,,"4"
613572,"980000","1",153400,,"5"
613572,"980070","1",35014,"T","1"
613572,"980070","1",35014,"T","2"
613572,"980070","1",35014,"T","3"
613572,"980070","1",35014,"T","4"
613572,"980070","1",35014,"T","5"
607361,"800940","1",6411,,"1"
607361,"800940","1",6411,,"2"
607361,"800940","1",6411,,"3"
607361,"800940","1",6411,,"4"
607361,"800940","1",6411,,"5"
607361,"900000","1",83800,,"1"
607361,"900000","1",83800,,"2"
607361,"900000","1",83800,,"3"
607361,"900000","1",83800,,"4"
607361,"900000","1",83800,,"5"
607361,"900050","1",50,,"1"
607361,"900050","1",50,,"2"
607361,"900050","1",50,,"3"
607361,"900050","1",50,,"4"
607361,"900050","1",50,,"5"
607361,"900080","1",200,,"1"
607361,"900080","1",200,,"2"
607361,"900080","1",200,,"3"
607361,"900080","1",200,,"4"
607361,"900080","1",200,,"5"
607361,"950000","1",7112,,"1"
607361,"950000","1",7112,,"2"
607361,"950000","1",7112,,"3"
607361,"950000","1",7112,,"4"
607361,"950000","1",7112,,"5"
607361,"950010","1",3415,,"1"
607361,"950010","1",3415,,"2"
607361,"950010","1",3415,,"3"
607361,"950010","1",3415,,"4"
607361,"950010","1",3415,,"5"
607361,"980000","1",84050,,"1"
607361,"980000","1",84050,,"2"
607361,"980000","1",84050,,"3"
607361,"980000","1",84050,,"4"
607361,"980000","1",84050,,"5"
607361,"980070","1",78523,,"1"
607361,"980070","1",78523,,"2"
607361,"980070","1",78523,,"3"
607361,"980070","1",78523,,"4"
607361,"980070","1",78523,,"5"
607362,"800940","1",6411,,"1"
607362,"800940","1",6411,,"2"
607362,"800940","1",6411,,"3"
607362,"800940","1",6411,,"4"
607362,"800940","1",6411,,"5"
607362,"900000","1",83800,,"1"
607362,"900000","1",83800,,"2"
607362,"900000","1",83800,,"3"
607362,"900000","1",83800,,"4"
607362,"900000","1",83800,,"5"
607362,"900050","1",50,,"1"
607362,"900050","1",50,,"2"
607362,"900050","1",50,,"3"
607362,"900050","1",50,,"4"
607362,"900050","1",50,,"5"
607362,"900080","1",200,,"1"
607362,"900080","1",200,,"2"
607362,"900080","1",200,,"3"
607362,"900080","1",200,,"4"
607362,"900080","1",200,,"5"
607362,"950000","1",7112,,"1"
607362,"950000","1",7112,,"2"
607362,"950000","1",7112,,"3"
607362,"950000","1",7112,,"4"
607362,"950000","1",7112,,"5"
607362,"950010","1",3415,,"1"
607362,"950010","1",3415,,"2"
607362,"950010","1",3415,,"3"
607362,"950010","1",3415,,"4"
607362,"950010","1",3415,,"5"
607362,"980000","1",84050,,"1"
607362,"980000","1",84050,,"2"
607362,"980000","1",84050,,"3"
607362,"980000","1",84050,,"4"
607362,"980000","1",84050,,"5"
607362,"980070","1",78523,,"1"
607362,"980070","1",78523,,"2"
607362,"980070","1",78523,,"3"
607362,"980070","1",78523,,"4"
607362,"980070","1",78523,,"5"
612951,"800940","1",5776,,"1"
612951,"800940","1",5776,,"2"
612951,"800940","1",5776,,"3"
612951,"800940","1",5776,,"4"
612951,"800940","1",5776,,"5"
612951,"900000","1",75500,,"1"
612951,"900000","1",75500,,"2"
612951,"900000","1",75500,,"3"
612951,"900000","1",75500,,"4"
612951,"900000","1",75500,,"5"
612951,"950000","1",8989,,"1"
612951,"950000","1",8989,,"2"
612951,"950000","1",8989,,"3"
612951,"950000","1",8989,,"4"
612951,"950000","1",8989,,"5"
612951,"950010","1",4135,,"1"
612951,"950010","1",4135,,"2"
612951,"950010","1",4135,,"3"
612951,"950010","1",4135,,"4"
612951,"950010","1",4135,,"5"
612951,"980000","1",75500,,"1"
612951,"980000","1",75500,,"2"
612951,"980000","1",75500,,"3"
612951,"980000","1",75500,,"4"
612951,"980000","1",75500,,"5"
612951,"980070","1",72638,"T","1"
612951,"980070","1",72638,"T","2"
612951,"980070","1",72638,"T","3"
612951,"980070","1",72638,"T","4"
612951,"980070","1",72638,"T","5"
612952,"800940","1",5776,,"1"
612952,"800940","1",5776,,"2"
612952,"800940","1",5776,,"3"
612952,"800940","1",5776,,"4"
612952,"800940","1",5776,,"5"
612952,"900000","1",75500,,"1"
612952,"900000","1",75500,,"2"
612952,"900000","1",75500,,"3"
612952,"900000","1",75500,,"4"
612952,"900000","1",75500,,"5"
612952,"950000","1",8989,,"1"
612952,"950000","1",8989,,"2"
612952,"950000","1",8989,,"3"
612952,"950000","1",8989,,"4"
612952,"950000","1",8989,,"5"
612952,"950010","1",4135,,"1"
612952,"950010","1",4135,,"2"
612952,"950010","1",4135,,"3"
612952,"950010","1",4135,,"4"
612952,"950010","1",4135,,"5"
612952,"980000","1",75500,,"1"
612952,"980000","1",75500,,"2"
612952,"980000","1",75500,,"3"
612952,"980000","1",75500,,"4"
612952,"980000","1",75500,,"5"
612952,"980070","1",72638,"T","1"
612952,"980070","1",72638,"T","2"
612952,"980070","1",72638,"T","3"
612952,"980070","1",72638,"T","4"
612952,"980070","1",72638,"T","5"
605891,"800940","1",5355,,"1"
605891,"800940","1",5592,,"2"
605891,"800940","1",3920,,"3"
605891,"800940","1",6273,,"4"
605891,"800940","1",6377,,"5"
605891,"900000","1",70001,,"1"
605891,"900000","1",73096,,"2"
605891,"900000","1",51244,,"3"
605891,"900000","1",81997,,"4"
605891,"900000","1",83354,,"5"
605891,"900050","1",9359,,"1"
605891,"900050","1",517,,"2"
605891,"900050","1",52,,"3"
605891,"900050","1",8562,,"4"
605891,"900050","1",1355,,"5"
605891,"900080","1",90,,"1"
605891,"900080","1",460,,"2"
605891,"900080","1",618,,"3"
605891,"900080","1",103,,"4"
605891,"900080","1",30,,"5"
605891,"980000","1",79450,,"1"
605891,"980000","1",74073,,"2"
605891,"980000","1",51914,,"3"
605891,"980000","1",90662,,"4"
605891,"980000","1",84739,,"5"
605891,"980070","1",79450,,"1"
605891,"980070","1",74073,,"2"
605891,"980070","1",51914,,"3"
605891,"980070","1",90662,,"4"
605891,"980070","1",84739,,"5"
605892,"800940","1",6756,,"1"
605892,"800940","1",3986,,"2"
605892,"800940","1",3978,,"3"
605892,"800940","1",4952,,"4"
605892,"800940","1",3288,,"5"
605892,"900000","1",90111,,"1"
605892,"900000","1",52110,,"2"
605892,"900000","1",52000,,"3"
605892,"900000","1",64733,,"4"
605892,"900000","1",42981,,"5"
605892,"900050","1",6918,,"1"
605892,"900050","1",12758,,"2"
605892,"900050","1",27136,,"3"
605892,"900050","1",10215,,"4"
605892,"900050","1",2373,,"5"
605892,"900080","1",54,,"1"
605892,"900080","1",1128,,"2"
605892,"900080","1",217,,"3"
605892,"900080","1",739,,"4"
605892,"900080","1",15878,,"5"
605892,"980000","1",97083,,"1"
