"NEWID","UCC","PUB_FLAG","AMOUNT","AMOUNT_","IMPNUM"
666961,"800940","1",14930,,"1"
666961,"800940","1",14930,,"2"
666961,"800940","1",14930,,"3"
666961,"800940","1",14930,,"4"
666961,"800940","1",14930,,"5"
666961,"900000","1",260000,,"1"
666961,"900000","1",260000,,"2"
666961,"900000","1",260000,,"3"
666961,"900000","1",260000,,"4"
666961,"900000","1",260000,,"5"
666961,"900080","1",300,,"1"
666961,"900080","1",300,,"2"
666961,"900080","1",300,,"3"
666961,"900080","1",300,,"4"
666961,"900080","1",300,,"5"
666961,"950000","1",79105,"T","1"
666961,"950000","1",79105,"T","2"
666961,"950000","1",79105,"T","3"
666961,"950000","1",79105,"T","4"
666961,"950000","1",79105,"T","5"
666961,"950010","1",23219,"T","1"
666961,"950010","1",23219,"T","2"
666961,"950010","1",23219,"T","3"
666961,"950010","1",23219,"T","4"
666961,"950010","1",23219,"T","5"
666961,"980000","1",260300,,"1"
666961,"980000","1",260300,,"2"
666961,"980000","1",260300,,"3"
666961,"980000","1",260300,,"4"
666961,"980000","1",260300,,"5"
666961,"980070","1",171066,"T","1"
666961,"980070","1",171066,"T","2"
666961,"980070","1",171066,"T","3"
666961,"980070","1",171066,"T","4"
666961,"980070","1",171066,"T","5"
666962,"800940","1",14930,,"1"
666962,"800940","1",14930,,"2"
666962,"800940","1",14930,,"3"
666962,"800940","1",14930,,"4"
666962,"800940","1",14930,,"5"
666962,"900000","1",260000,,"1"
666962,"900000","1",260000,,"2"
666962,"900000","1",260000,,"3"
666962,"900000","1",260000,,"4"
666962,"900000","1",260000,,"5"
666962,"900080","1",300,,"1"
666962,"900080","1",300,,"2"
666962,"900080","1",300,,"3"
666962,"900080","1",300,,"4"
666962,"900080","1",300,,"5"
666962,"950000","1",79105,"T","1"
666962,"950000","1",79105,"T","2"
666962,"950000","1",79105,"T","3"
666962,"950000","1",79105,"T","4"
666962,"950000","1",79105,"T","5"
666962,"950010","1",23219,"T","1"
666962,"950010","1",23219,"T","2"
666962,"950010","1",23219,"T","3"
666962,"950010","1",23219,"T","4"
666962,"950010","1",23219,"T","5"
666962,"980000","1",260300,,"1"
666962,"980000","1",260300,,"2"
666962,"980000","1",260300,,"3"
666962,"980000","1",260300,,"4"
666962,"980000","1",260300,,"5"
666962,"980070","1",171066,"T","1"
666962,"980070","1",171066,"T","2"
666962,"980070","1",171066,"T","3"
666962,"980070","1",171066,"T","4"
666962,"980070","1",171066,"T","5"
671441,"800940","1",8140,"T","1"
671441,"800940","1",8140,"T","2"
671441,"800940","1",8140,"T","3"
671441,"800940","1",8140,"T","4"
671441,"800940","1",8140,"T","5"
671441,"900000","1",53000,,"1"
671441,"900000","1",53000,,"2"
671441,"900000","1",53000,,"3"
671441,"900000","1",53000,,"4"
671441,"900000","1",53000,,"5"
671441,"900010","1",8459,,"1"
671441,"900010","1",21566,,"2"
671441,"900010","1",7783,,"3"
671441,"900010","1",141072,,"4"
671441,"900010","1",23329,,"5"
671441,"900030","1",28270,,"1"
671441,"900030","1",28270,,"2"
671441,"900030","1",28270,,"3"
671441,"900030","1",28270,,"4"
671441,"900030","1",28270,,"5"
671441,"900040","1",6926,,"1"
671441,"900040","1",6926,,"2"
671441,"900040","1",6926,,"3"
671441,"900040","1",6926,,"4"
671441,"900040","1",6926,,"5"
671441,"950000","1",3349,,"1"
671441,"950000","1",3349,,"2"
671441,"950000","1",3349,,"3"
671441,"950000","1",3349,,"4"
671441,"950000","1",3349,,"5"
671441,"950010","1",1301,,"1"
671441,"950010","1",1301,,"2"
671441,"950010","1",1301,,"3"
671441,"950010","1",1301,,"4"
671441,"950010","1",1301,,"5"
671441,"980000","1",96655,,"1"
671441,"980000","1",109762,,"2"
671441,"980000","1",95979,,"3"
671441,"980000","1",229268,,"4"
671441,"980000","1",111525,,"5"
671441,"980070","1",94105,,"1"
671441,"980070","1",107212,,"2"
671441,"980070","1",93429,,"3"
671441,"980070","1",226718,,"4"
671441,"980070","1",108975,,"5"
671442,"800940","1",8140,"T","1"
671442,"800940","1",8140,"T","2"
671442,"800940","1",8140,"T","3"
671442,"800940","1",8140,"T","4"
671442,"800940","1",8140,"T","5"
671442,"900000","1",53000,,"1"
671442,"900000","1",53000,,"2"
671442,"900000","1",53000,,"3"
671442,"900000","1",53000,,"4"
671442,"900000","1",53000,,"5"
671442,"900010","1",748,,"1"
671442,"900010","1",21216,,"2"
671442,"900010","1",20000,,"3"
671442,"900010","1",31319,,"4"
671442,"900010","1",28147,,"5"
671442,"900030","1",28270,,"1"
671442,"900030","1",28270,,"2"
671442,"900030","1",28270,,"3"
671442,"900030","1",28270,,"4"
671442,"900030","1",28270,,"5"
671442,"900040","1",6926,,"1"
671442,"900040","1",6926,,"2"
671442,"900040","1",6926,,"3"
671442,"900040","1",6926,,"4"
671442,"900040","1",6926,,"5"
671442,"950000","1",3349,,"1"
671442,"950000","1",3349,,"2"
671442,"950000","1",3349,,"3"
671442,"950000","1",3349,,"4"
671442,"950000","1",3349,,"5"
671442,"950010","1",1301,,"1"
671442,"950010","1",1301,,"2"
671442,"950010","1",1301,,"3"
671442,"950010","1",1301,,"4"
671442,"950010","1",1301,,"5"
671442,"980000","1",88944,,"1"
671442,"980000","1",109412,,"2"
671442,"980000","1",108196,,"3"
671442,"980000","1",119515,,"4"
671442,"980000","1",116343,,"5"
671442,"980070","1",86394,,"1"
671442,"980070","1",106862,,"2"
671442,"980070","1",105646,,"3"
671442,"980070","1",116965,,"4"
671442,"980070","1",113793,,"5"
680071,"800940","1",4838,,"1"
680071,"800940","1",4947,,"2"
680071,"800940","1",5332,,"3"
680071,"800940","1",3857,,"4"
680071,"800940","1",4915,,"5"
680071,"900000","1",63243,,"1"
680071,"900000","1",64670,,"2"
680071,"900000","1",69702,,"3"
680071,"900000","1",50418,,"4"
680071,"900000","1",64254,,"5"
680071,"980000","1",63243,,"1"
680071,"980000","1",64670,,"2"
680071,"980000","1",69702,,"3"
680071,"980000","1",50418,,"4"
680071,"980000","1",64254,,"5"
680071,"980070","1",63243,,"1"
680071,"980070","1",64670,,"2"
680071,"980070","1",69702,,"3"
680071,"980070","1",50418,,"4"
680071,"980070","1",64254,,"5"
680072,"800940","1",4724,,"1"
680072,"800940","1",4870,,"2"
680072,"800940","1",4231,,"3"
680072,"800940","1",3945,,"4"
680072,"800940","1",4242,,"5"
680072,"900000","1",61747,,"1"
680072,"900000","1",63662,,"2"
680072,"900000","1",55304,,"3"
680072,"900000","1",51567,,"4"
680072,"900000","1",55449,,"5"
680072,"980000","1",61747,,"1"
680072,"980000","1",63662,,"2"
680072,"980000","1",55304,,"3"
680072,"980000","1",51567,,"4"
