"HH_CU_Q","hhid","hhid_","newid"
1,.,"A",741421
1,.,"A",741422
1,.,"A",741431
1,.,"A",741432
1,.,"A",741441
1,.,"A",741442
1,.,"A",741451
1,.,"A",741452
1,.,"A",741461
1,.,"A",741462
1,.,"A",741471
1,.,"A",741472
1,.,"A",741481
1,.,"A",741482
1,.,"A",741491
1,.,"A",741492
1,.,"A",741501
1,.,"A",741502
3,22,"D",741511
3,52,"D",741512
1,.,"A",741521
1,.,"A",741522
2,13,"D",741531
1,.,"A",741541
1,.,"A",741542
1,.,"A",741551
1,.,"A",741552
1,.,"A",741561
1,.,"A",741562
1,.,"A",741571
1,.,"A",741572
1,.,"A",741581
1,.,"A",741582
1,.,"A",741591
1,.,"A",741592
1,.,"A",741601
1,.,"A",741602
1,.,"A",741611
1,.,"A",741612
1,.,"A",741621
1,.,"A",741622
1,.,"A",741631
1,.,"A",741632
1,.,"A",741641
1,.,"A",741642
1,.,"A",741651
1,.,"A",741652
1,.,"A",741661
1,.,"A",741662
1,.,"A",741671
1,.,"A",741672
1,.,"A",741681
1,.,"A",741682
1,.,"A",741692
1,.,"A",741701
1,.,"A",741702
1,.,"A",741711
1,.,"A",741712
1,.,"A",741721
1,.,"A",741731
1,.,"A",741732
1,.,"A",741741
1,.,"A",741742
1,.,"A",741751
1,.,"A",741761
1,.,"A",741762
1,.,"A",741771
1,.,"A",741772
1,.,"A",741781
1,.,"A",741782
1,.,"A",741791
1,.,"A",741792
1,.,"A",741801
1,.,"A",741802
1,.,"A",741811
1,.,"A",741812
1,.,"A",741821
1,.,"A",741822
1,.,"A",741831
1,.,"A",741832
2,3,"D",741841
2,29,"D",741842
1,.,"A",741851
1,.,"A",741852
1,.,"A",741861
1,.,"A",741862
1,.,"A",741871
1,.,"A",741872
1,.,"A",741881
1,.,"A",741882
1,.,"A",741891
1,.,"A",741892
1,.,"A",741901
1,.,"A",741902
1,.,"A",741911
1,.,"A",741912
1,.,"A",741921
1,.,"A",741922
1,.,"A",741931
1,.,"A",741932
1,.,"A",741941
1,.,"A",741942
1,.,"A",741951
1,.,"A",741952
1,.,"A",741961
1,.,"A",741962
1,.,"A",741971
1,.,"A",741972
1,.,"A",741981
1,.,"A",741982
1,.,"A",741991
1,.,"A",741992
1,.,"A",742001
1,.,"A",742002
1,.,"A",742012
1,.,"A",742021
1,.,"A",742022
1,.,"A",742031
1,.,"A",742032
1,.,"A",742041
1,.,"A",742042
1,.,"A",742051
1,.,"A",742052
1,.,"A",742061
1,.,"A",742062
1,.,"A",742072
1,.,"A",742081
1,.,"A",742082
1,.,"A",742091
1,.,"A",742092
1,.,"A",742101
1,.,"A",742102
1,.,"A",742111
1,.,"A",742112
1,.,"A",742121
1,.,"A",742122
1,.,"A",742131
1,.,"A",742132
1,.,"A",742141
1,.,"A",742142
1,.,"A",742151
1,.,"A",742152
1,.,"A",742162
1,.,"A",742171
1,.,"A",742172
1,.,"A",742181
1,.,"A",742182
1,.,"A",742191
1,.,"A",742192
1,.,"A",742201
1,.,"A",742202
1,.,"A",742211
1,.,"A",742212
1,.,"A",742221
1,.,"A",742222
2,20,"D",742231
2,50,"D",742232
1,.,"A",742241
1,.,"A",742242
1,.,"A",742251
1,.,"A",742252
1,.,"A",742261
1,.,"A",742262
1,.,"A",742271
1,.,"A",742272
1,.,"A",742281
1,.,"A",742282
1,.,"A",742291
1,.,"A",742292
1,.,"A",742301
1,.,"A",742302
1,.,"A",742311
1,.,"A",742312
1,.,"A",742321
1,.,"A",742322
1,.,"A",742332
1,.,"A",742341
1,.,"A",742342
1,.,"A",742351
1,.,"A",742352
1,.,"A",742361
1,.,"A",742362
1,.,"A",742372
1,.,"A",742381
1,.,"A",742382
1,.,"A",742391
1,.,"A",742392
3,8,"D",742401
3,36,"D",742402
1,.,"A",742411
1,.,"A",742412
1,.,"A",742421
1,.,"A",742422
1,.,"A",742432
1,.,"A",742441
1,.,"A",742442
1,.,"A",742451
1,.,"A",742452
1,.,"A",742461
1,.,"A",742462
1,.,"A",742471
1,.,"A",742472
1,.,"A",742481
1,.,"A",742482
1,.,"A",742491
1,.,"A",742492
1,.,"A",742501
1,.,"A",742502
1,.,"A",742511
1,.,"A",742512
1,.,"A",742522
3,22,"D",742531
3,52,"D",742532
1,.,"A",742541
1,.,"A",742542
1,.,"A",742551
1,.,"A",742552
1,.,"A",742561
1,.,"A",742562
1,.,"A",742571
1,.,"A",742572
1,.,"A",742581
1,.,"A",742582
1,.,"A",742591
1,.,"A",742592
1,.,"A",742601
1,.,"A",742602
1,.,"A",742611
1,.,"A",742612
1,.,"A",742621
1,.,"A",742622
1,.,"A",742631
1,.,"A",742632
1,.,"A",742641
1,.,"A",742642
1,.,"A",742651
1,.,"A",742652
1,.,"A",742661
1,.,"A",742662
1,.,"A",742671
1,.,"A",742672
1,.,"A",742681
1,.,"A",742682
1,.,"A",742691
1,.,"A",742692
1,.,"A",742701
1,.,"A",742702
1,.,"A",742711
1,.,"A",742712
1,.,"A",742721
1,.,"A",742722
1,.,"A",742731
1,.,"A",742732
1,.,"A",742741
1,.,"A",742742
1,.,"A",742751
1,.,"A",742761
1,.,"A",742762
1,.,"A",742771
1,.,"A",742772
1,.,"A",742781
1,.,"A",742782
1,.,"A",742791
1,.,"A",742792
1,.,"A",742801
1,.,"A",742802
1,.,"A",742811
1,.,"A",742812
1,.,"A",742821
1,.,"A",742822
1,.,"A",742831
1,.,"A",742832
1,.,"A",742841
1,.,"A",742842
1,.,"A",742851
1,.,"A",742852
1,.,"A",742861
1,.,"A",742862
1,.,"A",742871
1,.,"A",742872
1,.,"A",742881
1,.,"A",742882
1,.,"A",742891
1,.,"A",742892
1,.,"A",742901
1,.,"A",742902
1,.,"A",742911
1,.,"A",742912
1,.,"A",742921
1,.,"A",742922
1,.,"A",742931
1,.,"A",742932
1,.,"A",742941
1,.,"A",742942
1,.,"A",742951
1,.,"A",742952
1,.,"A",742961
1,.,"A",742962
1,.,"A",742971
1,.,"A",742972
1,.,"A",742981
1,.,"A",742982
1,.,"A",742991
1,.,"A",742992
1,.,"A",743001
1,.,"A",743002
1,.,"A",743011
1,.,"A",743012
1,.,"A",743021
1,.,"A",743022
1,.,"A",743031
1,.,"A",743032
1,.,"A",743041
1,.,"A",743042
1,.,"A",743051
1,.,"A",743052
1,.,"A",743061
1,.,"A",743062
1,.,"A",743071
1,.,"A",743072
1,.,"A",743081
1,.,"A",743082
1,.,"A",743091
1,.,"A",743092
1,.,"A",743101
1,.,"A",743102
1,.,"A",743111
1,.,"A",743112
1,.,"A",743121
1,.,"A",743122
1,.,"A",743131
1,.,"A",743132
1,.,"A",743141
1,.,"A",743142
1,.,"A",743151
1,.,"A",743152
1,.,"A",743161
1,.,"A",743162
1,.,"A",743171
1,.,"A",743172
1,.,"A",743181
1,.,"A",743182
1,.,"A",743191
1,.,"A",743192
1,.,"A",743201
1,.,"A",743202
1,.,"A",743211
1,.,"A",743221
1,.,"A",743222
1,.,"A",743231
1,.,"A",743232
1,.,"A",743241
1,.,"A",743242
1,.,"A",743251
1,.,"A",743261
1,.,"A",743262
1,.,"A",743271
1,.,"A",743272
1,.,"A",743281
1,.,"A",743282
1,.,"A",743292
1,.,"A",743301
1,.,"A",743302
1,.,"A",743311
1,.,"A",743312
1,.,"A",743321
1,.,"A",743322
1,.,"A",743331
1,.,"A",743332
3,10,"D",743341
3,38,"D",743342
1,.,"A",743351
1,.,"A",743352
1,.,"A",743361
1,.,"A",743362
1,.,"A",743371
1,.,"A",743372
1,.,"A",743381
1,.,"A",743382
1,.,"A",743391
1,.,"A",743392
1,.,"A",743401
1,.,"A",743402
1,.,"A",743411
1,.,"A",743412
1,.,"A",743421
1,.,"A",743422
1,.,"A",743432
1,.,"A",743441
1,.,"A",743442
1,.,"A",743451
1,.,"A",743452
1,.,"A",743461
1,.,"A",743462
1,.,"A",743471
1,.,"A",743472
1,.,"A",743481
1,.,"A",743482
1,.,"A",743491
1,.,"A",743492
1,.,"A",743501
1,.,"A",743502
2,45,"D",743512
1,.,"A",743521
1,.,"A",743522
1,.,"A",743531
1,.,"A",743532
1,.,"A",743542
1,.,"A",743551
1,.,"A",743552
1,.,"A",743562
1,.,"A",743571
1,.,"A",743572
1,.,"A",743581
1,.,"A",743582
1,.,"A",743592
1,.,"A",743601
1,.,"A",743602
1,.,"A",743612
1,.,"A",743621
1,.,"A",743622
1,.,"A",743631
1,.,"A",743632
1,.,"A",743641
1,.,"A",743651
1,.,"A",743652
1,.,"A",743661
1,.,"A",743662
1,.,"A",743671
1,.,"A",743672
1,.,"A",743682
1,.,"A",743691
1,.,"A",743692
1,.,"A",743701
1,.,"A",743702
1,.,"A",743711
1,.,"A",743712
1,.,"A",743721
1,.,"A",743722
1,.,"A",743731
1,.,"A",743732
1,.,"A",743741
1,.,"A",743742
1,.,"A",743751
1,.,"A",743752
1,.,"A",743761
1,.,"A",743762
1,.,"A",743771
1,.,"A",743772
1,.,"A",743782
1,.,"A",743791
1,.,"A",743792
1,.,"A",743801
1,.,"A",743802
1,.,"A",743811
1,.,"A",743812
1,.,"A",743821
1,.,"A",743822
1,.,"A",743831
1,.,"A",743832
1,.,"A",743841
1,.,"A",743842
1,.,"A",743851
1,.,"A",743852
1,.,"A",743861
1,.,"A",743862
1,.,"A",743871
1,.,"A",743872
1,.,"A",743881
1,.,"A",743882
1,.,"A",743891
1,.,"A",743892
1,.,"A",743901
1,.,"A",743902
1,.,"A",743911
1,.,"A",743912
1,.,"A",743921
1,.,"A",743922
1,.,"A",743931
1,.,"A",743932
1,.,"A",743941
1,.,"A",743942
1,.,"A",743951
1,.,"A",743952
1,.,"A",743961
1,.,"A",743962
1,.,"A",743971
1,.,"A",743972
1,.,"A",743981
1,.,"A",743982
1,.,"A",743991
1,.,"A",743992
1,.,"A",744001
1,.,"A",744002
1,.,"A",744011
1,.,"A",744012
1,.,"A",744021
1,.,"A",744022
1,.,"A",744031
1,.,"A",744032
1,.,"A",744041
1,.,"A",744042
1,.,"A",744051
1,.,"A",744052
1,.,"A",744061
1,.,"A",744062
1,.,"A",744071
1,.,"A",744072
1,.,"A",744081
1,.,"A",744091
1,.,"A",744092
1,.,"A",744101
1,.,"A",744102
1,.,"A",744111
1,.,"A",744112
1,.,"A",744121
1,.,"A",744122
1,.,"A",744131
1,.,"A",744132
1,.,"A",744141
1,.,"A",744142
1,.,"A",744152
1,.,"A",744161
1,.,"A",744162
1,.,"A",744171
1,.,"A",744172
1,.,"A",744181
1,.,"A",744182
1,.,"A",744191
1,.,"A",744192
1,.,"A",744201
1,.,"A",744202
1,.,"A",744211
1,.,"A",744212
1,.,"A",744221
1,.,"A",744222
1,.,"A",744231
1,.,"A",744232
1,.,"A",744241
1,.,"A",744242
1,.,"A",744251
1,.,"A",744252
2,1,"D",744261
2,26,"D",744262
1,.,"A",744271
1,.,"A",744272
3,16,"D",744281
3,44,"D",744282
1,.,"A",744291
1,.,"A",744292
1,.,"A",744301
1,.,"A",744302
1,.,"A",744311
1,.,"A",744312
1,.,"A",744321
1,.,"A",744322
1,.,"A",744331
1,.,"A",744332
1,.,"A",744341
1,.,"A",744342
1,.,"A",744351
1,.,"A",744352
1,.,"A",744361
1,.,"A",744362
1,.,"A",744371
1,.,"A",744372
1,.,"A",744381
1,.,"A",744382
1,.,"A",744391
1,.,"A",744392
1,.,"A",744401
1,.,"A",744402
1,.,"A",744411
1,.,"A",744412
1,.,"A",744422
1,.,"A",744431
1,.,"A",744432
1,.,"A",744441
1,.,"A",744442
4,28,"D",744452
1,.,"A",744461
1,.,"A",744462
1,.,"A",744471
1,.,"A",744472
1,.,"A",744481
1,.,"A",744482
1,.,"A",744491
1,.,"A",744492
1,.,"A",744501
1,.,"A",744511
1,.,"A",744512
1,.,"A",744521
1,.,"A",744522
1,.,"A",744531
1,.,"A",744532
1,.,"A",744541
1,.,"A",744542
2,9,"D",744551
2,37,"D",744552
1,.,"A",744561
1,.,"A",744562
1,.,"A",744572
1,.,"A",744581
1,.,"A",744582
1,.,"A",744591
1,.,"A",744601
1,.,"A",744602
1,.,"A",744611
1,.,"A",744612
1,.,"A",744621
1,.,"A",744622
1,.,"A",744631
1,.,"A",744632
1,.,"A",744641
1,.,"A",744642
1,.,"A",744651
1,.,"A",744652
1,.,"A",744661
1,.,"A",744662
1,.,"A",744671
1,.,"A",744672
1,.,"A",744681
1,.,"A",744682
1,.,"A",744691
1,.,"A",744692
1,.,"A",744701
1,.,"A",744702
1,.,"A",744712
1,.,"A",744721
1,.,"A",744722
1,.,"A",744731
1,.,"A",744732
1,.,"A",744741
1,.,"A",744742
1,.,"A",744751
1,.,"A",744752
1,.,"A",744762
1,.,"A",744771
1,.,"A",744772
1,.,"A",744781
1,.,"A",744782
1,.,"A",744791
1,.,"A",744792
1,.,"A",744801
1,.,"A",744811
1,.,"A",744812
1,.,"A",744821
1,.,"A",744822
1,.,"A",744831
1,.,"A",744832
1,.,"A",744841
1,.,"A",744842
1,.,"A",744851
1,.,"A",744852
1,.,"A",744861
1,.,"A",744862
1,.,"A",744871
1,.,"A",744872
1,.,"A",744881
1,.,"A",744882
1,.,"A",744891
1,.,"A",744892
1,.,"A",744901
1,.,"A",744902
1,.,"A",744911
1,.,"A",744912
2,15,"D",744921
2,43,"D",744922
1,.,"A",744931
1,.,"A",744932
2,32,"D",744942
1,.,"A",744951
1,.,"A",744952
1,.,"A",744961
1,.,"A",744962
1,.,"A",744971
1,.,"A",744972
1,.,"A",744981
1,.,"A",744982
1,.,"A",744991
1,.,"A",744992
1,.,"A",745001
1,.,"A",745002
1,.,"A",745011
1,.,"A",745012
1,.,"A",745021
1,.,"A",745022
1,.,"A",745031
1,.,"A",745032
1,.,"A",745041
1,.,"A",745042
1,.,"A",745051
1,.,"A",745052
1,.,"A",745061
1,.,"A",745062
1,.,"A",745071
1,.,"A",745072
1,.,"A",745081
1,.,"A",745082
1,.,"A",745091
1,.,"A",745092
1,.,"A",745101
1,.,"A",745102
1,.,"A",745111
1,.,"A",745112
1,.,"A",745121
1,.,"A",745122
1,.,"A",745131
1,.,"A",745132
1,.,"A",745141
1,.,"A",745142
1,.,"A",745152
1,.,"A",745161
1,.,"A",745162
1,.,"A",745171
1,.,"A",745172
1,.,"A",745181
1,.,"A",745182
1,.,"A",745191
1,.,"A",745192
1,.,"A",745201
