"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
852841,"800940",5008,"","1"
852841,"900000",48152,"","1"
852841,"900010",8651,"","1"
852841,"950001",-4000,"","1"
852841,"950011",-1200,"","1"
852841,"980000",56803,"","1"
852841,"980010",5,"","1"
852841,"980020",37,"","1"
852841,"980030",3,"","1"
852841,"980040",2,"","1"
852841,"980050",2,"","1"
852841,"980070",62003,"","1"
852841,"980090",100,"","1"
852841,"980220",100,"","1"
852841,"980230",100,"","1"
852841,"980283",100,"","1"
852841,"980286",100,"","1"
852841,"980300",100,"","1"
852841,"980330",100,"","1"
852842,"800940",4021,"","1"
852842,"900000",47974,"","1"
852842,"900010",-77,"","1"
852842,"950001",-4000,"","1"
852842,"950011",-1200,"","1"
852842,"980000",47897,"","1"
852842,"980010",5,"","1"
852842,"980020",37,"","1"
852842,"980030",3,"","1"
852842,"980040",2,"","1"
852842,"980050",2,"","1"
852842,"980070",53097,"","1"
852842,"980090",100,"","1"
852842,"980220",100,"","1"
852842,"980230",100,"","1"
852842,"980283",100,"","1"
852842,"980286",100,"","1"
852842,"980300",100,"","1"
852842,"980330",100,"","1"
852852,"800940",3045,"","1"
852852,"900000",13000,"","1"
852852,"900020",13400,"","1"
852852,"900030",16434,"","1"
852852,"950002",1693,"","1"
852852,"950003",320,"","1"
852852,"950011",-56,"","1"
852852,"950012",382,"","1"
852852,"980000",42834,"","1"
852852,"980010",1,"","1"
852852,"980020",68,"","1"
852852,"980030",1,"","1"
852852,"980040",2,"","1"
852852,"980060",1,"","1"
852852,"980070",40495,"","1"
852852,"980210",100,"","1"
852852,"980260",100,"","1"
852852,"980281",100,"","1"
852852,"980286",100,"","1"
852852,"980310",100,"","1"
852852,"980330",100,"","1"
852861,"800931",7528,"","1"
852861,"800940",22296,"","1"
852861,"900000",89861,"","1"
852861,"900010",120000,"","1"
852861,"900080",136,"","1"
852861,"950002",11331,"","1"
852861,"950003",30000,"","1"
852861,"950012",3160,"","1"
852861,"950013",5000,"","1"
852861,"980000",209997,"","1"
852861,"980010",3,"","1"
852861,"980020",60,"","1"
852861,"980030",3,"","1"
852861,"980040",3,"","1"
852861,"980070",160506,"","1"
852861,"980090",100,"","1"
852861,"980210",100,"","1"
852861,"980230",100,"","1"
852861,"980281",100,"","1"
852861,"980286",100,"","1"
852861,"980310",100,"","1"
852861,"980330",100,"","1"
852862,"800931",7528,"","1"
852862,"800940",22296,"","1"
852862,"900000",89861,"","1"
852862,"900010",120000,"","1"
852862,"900080",136,"","1"
852862,"950002",11331,"","1"
852862,"950003",30000,"","1"
852862,"950012",3160,"","1"
852862,"950013",5000,"","1"
852862,"980000",209997,"","1"
852862,"980010",3,"","1"
852862,"980020",60,"","1"
852862,"980030",3,"","1"
852862,"980040",3,"","1"
852862,"980070",160506,"","1"
852862,"980090",100,"","1"
852862,"980210",100,"","1"
852862,"980230",100,"","1"
852862,"980281",100,"","1"
852862,"980286",100,"","1"
852862,"980310",100,"","1"
852862,"980330",100,"","1"
852871,"800940",1752,"","1"
852871,"900000",11300,"","1"
852871,"900010",5800,"","1"
852871,"900030",3600,"","1"
852871,"900040",28225,"","1"
852871,"900080",43,"","1"
852871,"900132",2216,"","1"
852871,"950001",-125,"","1"
852871,"950002",2217,"","1"
852871,"950003",750,"","1"
852871,"980000",51184,"","1"
852871,"980010",2,"","1"
852871,"980020",56,"","1"
852871,"980030",2,"","1"
852871,"980040",4,"","1"
852871,"980060",1,"","1"
852871,"980070",48342,"","1"
852871,"980090",100,"","1"
852871,"980210",100,"","1"
852871,"980230",100,"","1"
852871,"980283",100,"","1"
852871,"980286",100,"","1"
852871,"980310",100,"","1"
852871,"980330",100,"","1"
852872,"800940",1752,"","1"
852872,"900000",11300,"","1"
852872,"900010",5800,"","1"
852872,"900030",3600,"","1"
852872,"900040",28225,"","1"
852872,"900080",43,"","1"
852872,"900132",2216,"","1"
852872,"950001",-125,"","1"
852872,"950002",2217,"","1"
852872,"950003",750,"","1"
852872,"980000",51184,"","1"
852872,"980010",2,"","1"
852872,"980020",56,"","1"
852872,"980030",2,"","1"
852872,"980040",4,"","1"
852872,"980060",1,"","1"
852872,"980070",48342,"","1"
852872,"980090",100,"","1"
852872,"980210",100,"","1"
852872,"980230",100,"","1"
852872,"980283",100,"","1"
852872,"980286",100,"","1"
852872,"980310",100,"","1"
852872,"980330",100,"","1"
852881,"800940",24062,"","1"
852881,"900000",219723,"T","1"
852881,"900010",90000,"","1"
852881,"900050",1337,"","1"
852881,"900080",54,"","1"
852881,"910010",300,"","1"
852881,"950003",109214,"T","1"
852881,"950013",17555,"T","1"
852881,"980000",311114,"T","1"
852881,"980010",5,"","1"
852881,"980020",43,"","1"
852881,"980030",2,"","1"
852881,"980040",2,"","1"
852881,"980050",3,"","1"
852881,"980070",184345,"T","1"
852881,"980090",100,"","1"
852881,"980210",100,"","1"
852881,"980230",100,"","1"
852881,"980282",100,"","1"
852881,"980286",100,"","1"
852881,"980310",100,"","1"
852881,"980330",100,"","1"
852882,"800940",22794,"","1"
852882,"900000",219723,"T","1"
852882,"900010",90000,"","1"
852882,"900050",1399,"","1"
852882,"900080",128,"","1"
852882,"910010",300,"","1"
852882,"950003",109214,"T","1"
852882,"950013",17555,"T","1"
852882,"980000",311250,"T","1"
852882,"980010",5,"","1"
852882,"980020",43,"","1"
852882,"980030",2,"","1"
852882,"980040",2,"","1"
852882,"980050",3,"","1"
852882,"980070",184481,"T","1"
852882,"980090",100,"","1"
852882,"980210",100,"","1"
852882,"980230",100,"","1"
852882,"980282",100,"","1"
852882,"980286",100,"","1"
852882,"980310",100,"","1"
852882,"980330",100,"","1"
852891,"800910",3028,"","1"
852891,"800940",3443,"","1"
852891,"900000",45000,"","1"
852891,"900030",20802,"","1"
852891,"900040",17265,"","1"
852891,"900080",126,"","1"
