Colony,SC_I,SC_F,TC_I,TC_F,Length_15,Length_16,L_C,Width_15,Width_16,W_C,Height_15,Height_16,H_C,Volume_15,Volume_16,EV_C,BD_15,BD_16,BD_C,Tip_2015,Tip_2016,T_C
77,C,3,4,4,7,14.6,7.6,9.5,15.2,5.7,4.7,12,7.3,251.24,2106.46,1855.22,0.47,0.76,0.29,24,44,20
121,C,3,4,3,9.5,12.9,3.4,7.7,15.3,7.6,6.5,10,3.5,377.57,1561.45,1183.88,0.53,0.73,0.2,18,39,21
277,A,2,1,2,2.8,5.5,2.7,2.6,3.3,0.7,0,2.4,2.4,7.28,35.67,28.39,0,0.56,0.56,0,3,3
220,A,1,2,3,2.7,6.9,4.2,1.7,9,7.3,1.1,8.3,7.2,4.18,412,407.82,0.37,0.53,0.16,3,19,16
268,A,2,2,2,2.4,2.9,0.5,2.2,6,3.8,2,5.2,3.2,8.31,80.87,72.56,0.5,0.65,0.15,1,2,1
84,D,4,3,4,11.5,14.3,2.8,14,23.3,9.3,9.5,9.5,0,1212.92,2637.12,1424.2,0.57,0.76,0.19,16,47,31
82,C,4,3,3,12,13.5,1.5,5,8.5,3.5,6.7,11,4.3,380.19,1045.36,665.17,0.77,0.63,-0.14,14,17,3
107,B,2,2,2,8.5,9.7,1.2,1.1,2.3,1.2,3.3,2.1,-1.2,59.72,59.38,-0.34,0.4,0.6,0.2,3,3,0
214,A,1,1,1,2.2,3.9,1.7,1.5,2.1,0.6,0,0,0,3.3,8.19,4.89,0,0,0,0,0,0
215,A,1,1,1,0.6,1.8,1.2,0.7,1.6,0.9,0,0,0,0.42,2.88,2.46,0,0,0,0,0,0
252,B,2,2,2,4.5,5.7,1.2,3.1,3.5,0.4,1,3,2,11.34,49.86,38.52,0.47,0.76,0.29,4,3,-1
86,A,1,2,2,1.4,0,-1.4,2.3,0,-2.3,3.1,2.4,-0.7,8.33,2.4,-5.93,0.55,0.9,0.35,2,1,-1
237,A,2,1,1,0.9,5.8,4.9,0.8,2.5,1.7,0,0,0,0.72,14.5,13.78,0,0,0,0,0,0
203,A,1,1,1,0.8,3.2,2.4,0.9,2.1,1.2,0,0,0,0.72,6.72,6,0,0,0,0,0,0
213,A,2,1,2,3.5,7.4,3.9,3,3.7,0.7,0,3.5,3.5,10.5,84.67,74.17,0,0.66,0.66,0,7,7
92,C,3,2,3,14.5,15,0.5,5.1,7,1.9,5.8,10.5,4.7,437.49,997.85,560.36,0.47,0.6,0.13,10,15,5
245,B,3,2,3,5.3,11.1,5.8,3.6,9.1,5.5,1.3,5.3,4,20.22,424.63,404.41,0.5,0.6,0.1,1,11,10
283,C,3,2,2,10.5,13,2.5,2.5,3.6,1.1,7,9.4,2.4,232.28,508.6,276.32,0.65,0.73,0.08,2,5,3
287,C,3,2,2,7,6.8,-0.2,7,6.1,-0.9,5.5,6.4,0.9,211.66,209.12,-2.54,0.55,0.63,0.08,6,5,-1
285,B,3,2,3,4.8,10.2,5.4,3.3,5.4,2.1,1.7,9,7.3,21.9,430.05,408.15,0.6,0.63,0.03,1,15,14
244,C,4,2,2,12.5,11.3,-1.2,3.5,12.2,8.7,6.5,11.1,4.6,326.73,1203.62,876.89,0.9,0.66,-0.24,8,8,0
162,C,3,3,3,11,14.5,3.5,3.1,7,3.9,4.3,6.5,2.2,167.86,589.96,422.1,0.57,0.83,0.26,13,22,9
166,C,4,3,3,13,15,2,6,12,6,4.1,8.4,4.3,290.62,1202.32,911.7,0.57,0.7,0.13,11,31,20
155,C,4,3,3,13,15,2,6,11.3,5.3,5,8.5,3.5,354.41,1154.41,800,0.77,0.6,-0.17,12,25,13
225,B,3,2,2,3.6,6.4,2.8,2.8,6.6,3.8,2.3,7.4,5.1,18.5,245.55,227.05,0.55,0.53,-0.02,3,6,3
280,B,3,2,2,3.4,6.1,2.7,3.2,4.7,1.5,3.3,4.7,1.4,28.22,107.64,79.42,0.55,0.6,0.05,3,4,1
212,C,3,2,2,6.5,7.9,1.4,3.8,7.2,3.4,7,7.6,0.6,145.82,340.25,194.43,0.7,0.7,0,6,9,3
168,D,4,3,3,17.5,13.5,-4,18,14.7,-3.3,12,9.1,-2.9,2969.39,1420.92,-1548.47,1,0.73,-0.27,18,14,-4
299,B,3,2,2,7.5,8.6,1.1,2.1,4.7,2.6,1.8,6.5,4.7,32.57,225.76,193.19,0.6,0.56,-0.04,2,4,2
169,B,1,2,2,9,3.6,-5.4,4,2,-2,3.2,2.4,-0.8,106.19,14.78,-91.41,0.65,0.56,-0.09,2,2,0
228,B,1,2,2,9.7,6.1,-3.6,3,2.1,-0.9,1.7,1.6,-0.1,53.84,17.2,-36.64,0.7,0.56,-0.14,1,2,1
170,C,3,2,2,8.5,12.3,3.8,6,6.5,0.5,4.9,5.8,0.9,202.28,402.51,200.23,0.72,0.73,0.01,4,8,4
